,Away Team,Home Team,Away Spread,Away Spread Odds,Home Spread,Home Spread Odds,Away ML,Home ML,Over,Over Odds,Under,Under Odds,Away 1H ML,Home 1H ML,Away 1H Spread,Away 1H Spread Odds,Home 1H Spread,Home 1H Spread Odds,1H Over,1H Over Odds,1H Under,1H Under Odds
0,PHI,WAS,-1.5,136,1.5,-164,-118,100,8.5,-114,8.5,-105,100,-122,0.5,-138,-0.5,112,4.5,-110,4.5,-110
1,BAL,NYY,1.5,115,-1.5,-138,220,-270,10.0,-110,10.0,-110,190,-240,1.5,-114,-1.5,-106,5.5,-112,5.5,-108
2,SEA,TBR,1.5,-110,-1.5,-110,180,-215,9.0,-104,9.0,-118,176,-220,1.5,-142,-1.5,116,4.5,-118,4.5,-104
3,PIT,MIL,1.5,-110,-1.5,-110,188,-225,9.0,-110,9.0,-112,154,-192,0.5,110,-0.5,-134,5.5,120,5.5,-148
4,SFG,ARI,-1.5,-128,1.5,106,-200,168,9.5,-106,9.5,-114,-192,154,-0.5,-140,0.5,114,5.5,124,5.5,-152
