,Date,Home Team,Away Team,Home 1,Away 1,Home 2,Away 2,Home 3,Away 3,Home 4,Away 4,Home OT,Away OT,Home 2OT,Away 2OT,Home 3OT,Away 3OT,Home T,Away T
63,20201231,Philadelphia,Orlando,38,22,37,18,23,29,18,23,0,0,0,0,0,0,116,92
64,20201231,New York,Toronto,18,22,24,20,22,29,19,29,0,0,0,0,0,0,83,100
65,20201231,Phoenix,Utah,21,22,32,18,30,30,23,25,0,0,0,0,0,0,106,95
66,20201231,Chicago,Washington,35,41,36,27,36,32,26,30,0,0,0,0,0,0,133,130
67,20210101,Atlanta,Brooklyn,29,23,32,29,28,21,25,23,0,0,0,0,0,0,114,96
68,20210101,Memphis,Charlotte,23,19,30,28,30,20,25,26,0,0,0,0,0,0,108,93
69,20210101,Miami,Dallas,16,20,15,26,22,27,30,20,0,0,0,0,0,0,83,93
70,20210101,Phoenix,Denver,34,32,26,17,27,29,19,25,0,0,0,0,0,0,106,103
71,20210101,Boston,Detroit,12,27,28,28,33,24,20,17,0,0,0,0,0,0,93,96
72,20210101,Portland,Golden State,36,21,31,34,31,25,25,18,0,0,0,0,0,0,123,98
73,20210101,Chicago,Milwaukee,21,27,19,35,35,34,21,30,0,0,0,0,0,0,96,126
74,20210101,Washington,Minnesota,37,25,23,32,40,14,30,38,0,0,0,0,0,0,130,109
75,20210101,LA Lakers,San Antonio,25,31,33,26,23,28,28,18,0,0,0,0,0,0,109,103
76,20210101,LA Clippers,Utah,19,31,23,20,23,33,35,22,0,0,0,0,0,0,100,106
77,20210102,Cleveland,Atlanta,25,35,19,21,26,18,26,17,0,0,0,0,0,0,96,91
78,20210102,Sacramento,Houston,36,36,28,28,17,19,13,19,0,0,0,0,0,0,94,102
79,20210102,New York,Indiana,26,28,24,23,32,31,24,20,0,0,0,0,0,0,106,102
80,20210102,Toronto,New Orleans,26,32,34,23,22,32,34,33,0,0,0,0,0,0,116,120
81,20210102,Oklahoma City,Orlando,28,33,24,18,32,31,24,17,0,0,0,0,0,0,108,99
82,20210102,Charlotte,Philadelphia,24,39,34,34,32,31,22,23,0,0,0,0,0,0,112,127
83,20210103,Washington,Brooklyn,29,28,41,43,24,22,29,29,0,0,0,0,0,0,123,122
