,Team,Year,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OPP eFG%,OPP TOV%,OPP DRB%,OPP FT/FGA,Arena,Attendance,LG W,LG L,LG PW,LG PL,LG MOV,LG SOS,LG SRS,LG ORtg,LG DRtg,LG Pace,LG FTr,LG 3PAr,LG eFG%,LG TOV%,LG ORB%,LG FT/FGA,LG OPP eFG%,LG OPP TOV%,LG OPP DRB%,LG OPP FT/FGA,LG Arena,LG Attendance,MP/G,FG/G,FGA/G,FG%/G,3P/G,3PA/G,3P%/G,2P/G,2PA/G,2P%/G,FT/G,FTA/G,FT%/G,ORB/G,DRB/G,TRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G,LG MP/G,LG FG/G,LG FGA/G,LG FG%/G,LG 3P/G,LG 3PA/G,LG 3P%/G,LG 2P/G,LG 2PA/G,LG 2P%/G,LG FT/G,LG FTA/G,LG FT%/G,LG ORB/G,LG DRB/G,LG TRB/G,LG AST/G,LG STL/G,LG BLK/G,LG TOV/G,LG PF/G,LG PTS/G,OPP MP/G,OPP FG/G,OPP FGA/G,OPP FG%/G,OPP 3P/G,OPP 3PA/G,OPP 3P%/G,OPP 2P/G,OPP 2PA/G,OPP 2P%/G,OPP FT/G,OPP FTA/G,OPP FT%/G,OPP ORB/G,OPP DRB/G,OPP TRB/G,OPP AST/G,OPP STL/G,OPP BLK/G,OPP TOV/G,OPP PF/G,OPP PTS/G,LG OPP MP/G,LG OPP FG/G,LG OPP FGA/G,LG OPP FG%/G,LG OPP 3P/G,LG OPP 3PA/G,LG OPP 3P%/G,LG OPP 2P/G,LG OPP 2PA/G,LG OPP 2P%/G,LG OPP FT/G,LG OPP FTA/G,LG OPP FT%/G,LG OPP ORB/G,LG OPP DRB/G,LG OPP TRB/G,LG OPP AST/G,LG OPP STL/G,LG OPP BLK/G,LG OPP TOV/G,LG OPP PF/G,LG OPP PTS/G
10,HOU,2017,55,27,55,27,5.77,0.08,5.84,114.7,109.0,100.0,0.304,0.462,0.545,13.3,24.6,0.233,0.519,13.2,75.8,0.19399999999999998,Toyota Center,"695,903",3,28,3,3,3.0,12.0,3.0,2.0,18.0,3.0,2.0,1.0,3.0,24.0,10.0,2.0,21.0,11.0,21.0,8.0,None,21,241.2,40.3,87.2,0.462,14.4,40.3,0.35700000000000004,25.9,46.9,0.552,20.3,26.5,0.7659999999999999,10.9,33.5,44.4,25.2,8.2,4.3,15.1,19.9,115.3,18,4,7,12.0,1,1,15.0,29,30,2.0,2,1,20.0,9,15,8,3,8,20,25,15,2,241.2,41.2,88.9,0.46299999999999997,10.0,29.1,0.34299999999999997,31.2,59.7,0.522,17.3,22.2,0.778,10.7,33.4,44.1,24.1,8.5,5.0,15.1,20.4,109.6,18,27,27,23.0,22,25,4.0,27,18,28.0,11,10,23.0,23,17,19,27,24,17,5,8,26
11,IND,2017,42,40,40,42,-0.22,-0.42,-0.64,108.6,108.8,95.9,0.261,0.272,0.516,12.8,21.2,0.212,0.512,13.6,75.5,0.225,Bankers Life Fieldhouse,"684,578",13,17,17,17,17.0,28.0,19.0,15.0,16.0,18.0,19.0,26.0,13.0,16.0,24.0,16.0,15.0,6.0,25.0,25.0,None,22,242.1,39.3,84.5,0.465,8.6,23.0,0.376,30.6,61.5,0.498,17.9,22.1,0.81,9.0,33.0,42.0,22.5,8.2,5.0,13.8,19.5,105.1,7,15,20,10.0,23,27,4.0,9,9,17.0,16,23,2.0,23,21,26,16,9,9,16,13,15,242.1,38.0,84.3,0.451,10.4,29.1,0.355,27.6,55.1,0.501,19.0,24.1,0.789,10.7,33.5,44.3,22.3,8.1,5.0,14.9,19.5,105.3,7,7,11,10.0,25,25,13.0,5,6,12.0,24,20,30.0,24,19,21,11,20,16,6,20,14
12,LAC,2017,51,31,52,30,4.29,0.13,4.42,112.7,108.2,96.1,0.312,0.32899999999999996,0.537,12.0,21.5,0.233,0.506,12.1,76.9,0.21100000000000002,STAPLES Center,"782,609",5,23,4,4,4.0,11.0,4.0,5.0,12.0,16.0,1.0,9.0,4.0,6.0,23.0,3.0,6.0,21.0,10.0,13.0,None,10,240.9,39.5,83.2,0.475,10.3,27.4,0.375,29.3,55.8,0.525,19.3,26.0,0.745,9.0,34.0,43.0,22.5,7.5,4.2,13.0,19.8,108.7,25,10,26,2.0,9,11,7.0,17,23,4.0,6,3,27.0,24,11,21,15,20,21,7,14,6,240.9,38.6,85.4,0.452,9.2,26.3,0.35,29.4,59.1,0.49700000000000005,18.0,23.4,0.772,10.2,32.9,43.1,23.1,7.0,3.1,13.2,22.4,104.4,25,11,14,11.0,9,11,8.0,12,14,9.0,16,16,16.0,14,13,12,17,7,1,22,1,12
13,LAL,2017,26,56,24,58,-6.88,0.58,-6.29,106.0,113.0,98.5,0.259,0.295,0.501,13.5,25.0,0.195,0.542,13.0,75.8,0.213,STAPLES Center,"776,917",28,3,30,30,30.0,1.0,28.0,23.0,30.0,6.0,22.0,19.0,22.0,26.0,7.0,24.0,30.0,14.0,23.0,16.0,None,11,240.3,39.3,87.4,0.45,8.9,25.7,0.34600000000000003,30.4,61.6,0.493,17.0,22.6,0.754,11.4,32.1,43.5,20.9,8.2,3.9,15.2,20.7,104.6,30,13,6,21.0,19,19,22.0,11,7,22.0,23,17,21.0,7,26,17,26,5,28,26,22,17,240.3,41.5,86.0,0.483,10.1,27.4,0.37,31.4,58.6,0.536,18.3,24.0,0.762,10.3,34.2,44.4,25.7,8.5,5.4,14.5,18.5,111.5,30,28,17,30.0,24,19,26.0,28,12,30.0,18,19,5.0,17,23,23,30,25,26,11,28,28
14,MEM,2017,43,39,42,40,0.49,0.47,0.96,107.7,107.1,92.3,0.28,0.316,0.491,12.1,24.8,0.21899999999999997,0.506,13.6,77.5,0.256,FedEx Forum,"677,314",11,19,12,12,13.0,5.0,11.0,19.0,7.0,28.0,11.0,13.0,28.0,7.0,9.0,11.0,7.0,5.0,8.0,29.0,None,23,242.7,36.4,83.6,0.435,9.4,26.5,0.354,27.0,57.1,0.473,18.3,23.4,0.784,10.8,32.0,42.8,21.3,8.0,4.2,12.9,22.4,100.5,2,29,25,30.0,15,14,17.0,26,20,30.0,12,12,12.0,10,27,24,21,13,22,6,29,29,242.7,34.9,78.8,0.44299999999999995,9.9,28.0,0.354,25.0,50.8,0.49200000000000005,20.2,26.9,0.753,9.3,32.8,42.1,20.1,7.0,5.0,14.3,20.8,100.0,2,1,1,2.0,19,21,11.0,1,1,7.0,28,29,2.0,6,11,7,3,6,18,13,4,3
15,MIA,2017,41,41,44,38,1.06,-0.29,0.77,107.8,106.7,95.2,0.251,0.314,0.512,12.4,24.2,0.177,0.496,12.6,76.4,0.22,AmericanAirlines Arena,"805,400",15,14,10,10,10.0,23.0,12.0,17.0,5.0,21.0,26.0,14.0,15.0,11.0,11.0,29.0,4.0,16.0,14.0,22.0,None,7,241.2,39.0,85.8,0.455,9.9,27.0,0.365,29.2,58.8,0.496,15.2,21.6,0.706,10.6,33.0,43.6,21.2,7.2,5.7,13.4,20.5,103.2,18,18,14,15.0,12,12,12.0,18,15,18.0,28,26,30.0,11,20,15,22,22,3,11,20,21,241.2,37.9,84.2,0.45,7.8,22.7,0.34299999999999997,30.1,61.5,0.49,18.5,23.7,0.782,10.2,33.4,43.6,19.6,6.8,4.9,13.7,18.7,102.1,18,6,10,7.0,1,1,3.0,20,28,5.0,19,17,27.0,14,18,15,2,5,14,19,27,5
16,MIL,2017,42,40,40,42,-0.18,-0.26,-0.45,109.1,109.3,94.5,0.27399999999999997,0.29,0.527,13.2,21.5,0.21,0.518,13.6,75.4,0.215,BMO Harris Bradley Center,"648,952",13,17,16,16,16.0,21.0,17.0,13.0,19.0,26.0,16.0,21.0,7.0,21.0,22.0,17.0,20.0,4.0,26.0,19.0,None,27,241.2,38.8,81.9,0.474,8.8,23.7,0.37,30.0,58.2,0.516,17.2,22.4,0.768,8.8,31.6,40.4,24.2,8.1,5.3,14.0,20.2,103.6,18,19,29,4.0,22,24,10.0,14,19,6.0,21,20,19.0,25,28,29,5,10,6,18,17,20,241.2,38.0,83.0,0.45799999999999996,10.0,28.2,0.353,28.0,54.8,0.512,17.9,23.2,0.7709999999999999,10.3,32.1,42.5,24.1,7.4,4.6,14.7,19.3,103.8,18,8,5,17.0,20,22,9.0,8,4,24.0,15,14,12.0,19,8,8,26,13,9,9,24,9
17,MIN,2017,31,51,38,44,-1.11,0.47,-0.64,110.8,112.0,94.6,0.287,0.249,0.511,12.9,27.2,0.22899999999999998,0.535,13.2,75.9,0.212,Target Center,"607,203",24,6,20,20,20.0,4.0,18.0,10.0,27.0,25.0,9.0,30.0,16.0,18.0,3.0,5.0,29.0,12.0,20.0,14.0,None,29,241.5,39.5,84.4,0.467,7.3,21.0,0.349,32.1,63.4,0.507,19.3,24.2,0.799,11.4,31.0,42.4,23.7,8.0,4.5,14.0,20.1,105.6,13,12,21,8.0,30,30,20.0,3,5,10.0,6,8,5.0,6,29,25,9,12,19,19,16,13,241.5,39.6,83.3,0.475,9.9,27.0,0.366,29.7,56.3,0.528,17.6,22.9,0.768,9.8,30.6,40.4,23.1,7.7,5.0,14.3,20.5,106.7,13,20,7,28.0,18,14,23.0,15,8,29.0,13,13,8.0,10,1,2,18,18,19,14,7,18
18,NOP,2017,34,48,35,47,-2.1,0.41,-1.69,105.2,107.4,98.0,0.256,0.308,0.504,11.7,18.5,0.192,0.509,12.4,76.8,0.177,Smoothie King Center,"663,099",21,10,22,22,22.0,6.0,22.0,26.0,9.0,8.0,24.0,16.0,20.0,4.0,29.0,25.0,12.0,19.0,13.0,4.0,None,24,242.7,39.1,87.0,0.45,9.4,26.8,0.35,29.8,60.2,0.495,16.7,22.3,0.75,8.6,35.1,43.7,22.8,7.8,5.5,12.9,18.2,104.3,2,17,12,20.0,14,13,19.0,15,12,21.0,25,21,22.0,29,1,13,12,16,5,5,5,18,242.7,40.1,89.0,0.45,10.5,29.8,0.353,29.5,59.2,0.499,15.8,20.7,0.762,10.6,37.7,48.3,23.4,7.4,4.2,14.0,19.3,106.4,2,23,28,7.0,27,27,10.0,13,17,11.0,5,5,4.0,21,30,30,20,11,7,16,23,17
19,NYK,2017,31,51,31,51,-3.67,-0.2,-3.87,107.7,111.5,96.0,0.239,0.27899999999999997,0.496,12.4,26.6,0.188,0.511,11.7,74.1,0.214,Madison Square Garden (IV),"810,741",24,6,24,24,24.0,19.0,25.0,18.0,26.0,17.0,28.0,25.0,25.0,12.0,5.0,26.0,14.0,26.0,30.0,18.0,None,5,242.1,39.6,88.5,0.447,8.6,24.7,0.348,31.0,63.8,0.485,16.6,21.1,0.7879999999999999,12.0,33.2,45.2,21.8,7.1,5.5,13.9,20.3,104.3,7,8,3,23.0,24,21,21.0,8,4,28.0,26,28,10.0,3,17,5,19,23,4,17,19,18,242.1,39.7,87.4,0.455,9.8,28.2,0.348,29.9,59.1,0.506,18.7,24.2,0.7709999999999999,11.6,33.1,44.7,21.8,7.5,4.6,12.9,18.5,108.0,7,22,24,13.0,15,23,7.0,19,16,20.0,22,22,13.0,29,14,26,8,15,10,25,29,23
