,Team,Year,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OPP eFG%,OPP TOV%,OPP DRB%,OPP FT/FGA,Arena,Attendance,LG W,LG L,LG PW,LG PL,LG MOV,LG SOS,LG SRS,LG ORtg,LG DRtg,LG Pace,LG FTr,LG 3PAr,LG eFG%,LG TOV%,LG ORB%,LG FT/FGA,LG OPP eFG%,LG OPP TOV%,LG OPP DRB%,LG OPP FT/FGA,LG Arena,LG Attendance,MP/G,FG/G,FGA/G,FG%/G,3P/G,3PA/G,3P%/G,2P/G,2PA/G,2P%/G,FT/G,FTA/G,FT%/G,ORB/G,DRB/G,TRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G,LG MP/G,LG FG/G,LG FGA/G,LG FG%/G,LG 3P/G,LG 3PA/G,LG 3P%/G,LG 2P/G,LG 2PA/G,LG 2P%/G,LG FT/G,LG FTA/G,LG FT%/G,LG ORB/G,LG DRB/G,LG TRB/G,LG AST/G,LG STL/G,LG BLK/G,LG TOV/G,LG PF/G,LG PTS/G,OPP MP/G,OPP FG/G,OPP FGA/G,OPP FG%/G,OPP 3P/G,OPP 3PA/G,OPP 3P%/G,OPP 2P/G,OPP 2PA/G,OPP 2P%/G,OPP FT/G,OPP FTA/G,OPP FT%/G,OPP ORB/G,OPP DRB/G,OPP TRB/G,OPP AST/G,OPP STL/G,OPP BLK/G,OPP TOV/G,OPP PF/G,OPP PTS/G,LG OPP MP/G,LG OPP FG/G,LG OPP FGA/G,LG OPP FG%/G,LG OPP 3P/G,LG OPP 3PA/G,LG OPP 3P%/G,LG OPP 2P/G,LG OPP 2PA/G,LG OPP 2P%/G,LG OPP FT/G,LG OPP FTA/G,LG OPP FT%/G,LG OPP ORB/G,LG OPP DRB/G,LG OPP TRB/G,LG OPP AST/G,LG OPP STL/G,LG OPP BLK/G,LG OPP TOV/G,LG OPP PF/G,LG OPP PTS/G
20,OKC,2017,47,35,43,39,0.76,0.39,1.14,108.3,107.5,97.8,0.295,0.295,0.5,13.2,27.9,0.22,0.511,12.5,79.0,0.218,Chesapeake Energy Arena,"746,323",10,21,11,11,11.0,8.0,10.0,16.0,10.0,9.0,4.0,18.0,24.0,19.0,1.0,10.0,13.0,18.0,3.0,21.0,None,14,241.5,39.5,87.4,0.452,8.4,25.8,0.327,31.0,61.6,0.504,19.2,25.8,0.745,12.2,34.4,46.6,21.0,7.9,5.0,15.0,20.9,106.6,13,11,5,17.0,26,18,30.0,7,8,13.0,8,4,26.0,1,7,1,25,14,10,24,24,11,241.5,39.2,85.3,0.45899999999999996,8.8,24.8,0.35600000000000004,30.4,60.5,0.502,18.6,24.3,0.764,9.1,31.5,40.6,21.4,8.5,5.5,13.8,20.7,105.8,13,16,13,19.0,4,4,14.0,23,23,13.0,21,24,6.0,5,4,3,7,25,28,18,5,16
21,ORL,2017,29,53,24,58,-6.57,-0.04,-6.61,103.7,110.5,96.8,0.24600000000000002,0.3,0.489,12.1,21.6,0.184,0.523,11.9,77.4,0.201,Amway Center,"727,875",26,5,29,29,28.0,15.0,29.0,29.0,22.0,12.0,27.0,17.0,29.0,8.0,21.0,27.0,22.0,24.0,9.0,12.0,None,15,241.5,38.3,87.0,0.44,8.5,26.1,0.32799999999999996,29.7,60.9,0.488,16.0,21.4,0.747,9.8,33.3,43.2,22.2,7.1,4.8,13.3,19.3,101.1,13,22,11,28.0,25,15,29.0,16,10,26.0,27,27,25.0,17,16,20,18,24,15,9,11,27,241.5,40.3,86.4,0.467,9.7,26.4,0.36700000000000005,30.6,60.0,0.51,17.4,22.7,0.7659999999999999,9.7,35.8,45.5,23.6,7.6,5.1,13.0,18.7,107.6,13,25,20,25.0,13,13,24.0,25,21,22.0,12,12,7.0,8,28,28,22,16,20,24,26,22
22,PHI,2017,28,54,26,56,-5.7,-0.14,-5.83,103.2,108.9,98.5,0.258,0.349,0.501,14.9,22.4,0.19899999999999998,0.512,13.5,75.3,0.23399999999999999,Wells Fargo Center,"710,557",27,4,27,27,27.0,17.0,27.0,30.0,17.0,5.0,23.0,7.0,21.0,30.0,19.0,22.0,16.0,10.0,28.0,27.0,None,18,241.8,37.7,85.3,0.442,10.1,29.8,0.34,27.5,55.5,0.496,17.0,22.0,0.7709999999999999,9.8,33.0,42.8,23.8,8.4,5.1,16.7,21.9,102.4,10,27,16,27.0,10,7,25.0,23,24,19.0,24,24,18.0,17,19,23,8,3,7,30,28,25,241.8,39.6,85.9,0.461,8.9,24.9,0.35700000000000004,30.7,61.0,0.503,20.1,26.0,0.773,10.8,34.2,45.0,22.7,8.6,5.4,15.1,19.6,108.1,10,19,16,21.0,5,5,15.0,26,25,15.0,27,27,19.0,26,24,27,13,27,27,4,19,24
23,PHO,2017,24,58,27,55,-5.63,0.49,-5.14,106.6,112.2,100.3,0.297,0.255,0.493,13.4,26.0,0.231,0.525,13.1,76.4,0.264,Talking Stick Resort Arena,"708,639",29,2,26,26,26.0,3.0,26.0,22.0,28.0,2.0,3.0,29.0,26.0,25.0,6.0,4.0,25.0,13.0,15.0,30.0,None,19,241.8,39.9,88.5,0.45,7.5,22.6,0.332,32.4,65.9,0.491,20.4,26.3,0.7759999999999999,11.9,33.1,45.0,19.6,8.2,4.9,15.4,24.8,107.7,10,6,2,19.0,29,28,27.0,1,1,24.0,1,2,15.0,4,18,6,29,6,13,27,30,9,241.8,40.2,86.2,0.467,10.1,26.3,0.382,30.2,59.9,0.504,22.8,29.1,0.7829999999999999,10.2,33.8,44.0,22.2,8.1,5.3,14.9,22.2,113.3,10,24,19,26.0,23,12,30.0,21,20,18.0,30,30,28.0,16,21,18,10,21,25,8,2,30
24,POR,2017,41,41,40,42,-0.52,0.3,-0.23,110.3,110.8,96.7,0.275,0.322,0.52,12.5,23.0,0.214,0.508,11.6,76.8,0.24100000000000002,Moda Center,"792,029",15,14,18,18,18.0,9.0,16.0,11.0,24.0,14.0,14.0,12.0,11.0,13.0,17.0,14.0,11.0,27.0,12.0,28.0,None,9,243.0,39.5,86.1,0.45899999999999996,10.4,27.7,0.375,29.2,58.4,0.499,18.5,23.7,0.78,10.1,33.5,43.7,21.1,7.0,5.0,13.7,21.2,107.9,1,9,13,14.0,8,10,6.0,20,16,16.0,11,11,14.0,15,14,14,23,25,10,15,26,8,243.0,39.2,86.2,0.455,9.3,25.1,0.37,29.9,61.1,0.489,20.8,26.5,0.785,10.1,33.9,44.0,20.6,7.7,5.3,12.8,19.8,108.5,1,15,18,12.0,10,6,27.0,18,26,4.0,29,28,29.0,12,22,17,4,19,24,26,16,25
25,SAC,2017,32,50,31,51,-3.88,0.58,-3.29,107.3,111.3,94.9,0.284,0.29100000000000004,0.516,13.7,21.0,0.22,0.528,12.9,76.3,0.22699999999999998,Golden 1 Center,"721,928",23,8,25,25,25.0,1.0,24.0,21.0,25.0,23.0,10.0,20.0,14.0,27.0,26.0,8.0,26.0,15.0,17.0,26.0,None,16,242.4,37.9,82.1,0.461,9.0,23.9,0.376,28.9,58.2,0.496,18.1,23.3,0.775,8.7,32.3,41.1,22.5,7.6,4.0,14.6,20.3,102.8,4,24,28,13.0,18,23,5.0,21,18,20.0,14,13,16.0,28,25,28,16,17,26,21,18,24,242.4,38.5,83.2,0.462,10.9,30.0,0.364,27.5,53.2,0.517,18.9,24.2,0.778,10.1,32.8,42.9,23.7,8.5,5.1,14.0,20.1,106.7,4,10,6,22.0,29,28,19.0,3,2,26.0,23,22,22.0,11,10,9,24,23,21,15,14,18
26,SAS,2017,61,21,60,22,7.2,-0.06,7.13,111.1,103.5,94.2,0.263,0.281,0.524,12.6,24.0,0.21,0.49200000000000005,13.5,77.6,0.192,AT&T Center,"755,347",2,29,2,2,2.0,16.0,2.0,9.0,1.0,27.0,18.0,24.0,10.0,15.0,14.0,18.0,2.0,9.0,6.0,6.0,None,13,241.5,39.3,83.7,0.469,9.2,23.5,0.391,30.1,60.2,0.5,17.6,22.0,0.797,10.0,33.9,43.9,23.8,8.0,5.9,13.4,18.3,105.3,13,14,24,6.0,17,25,1.0,13,11,15.0,18,24,7.0,16,12,11,7,11,2,10,7,14,241.5,37.0,83.4,0.44299999999999995,8.1,23.7,0.344,28.8,59.7,0.483,16.0,20.8,0.7709999999999999,9.8,31.7,41.5,21.4,7.5,4.1,14.4,19.8,98.1,13,3,9,4.0,2,3,5.0,10,18,2.0,7,7,14.0,9,5,5,6,14,5,12,17,2
27,TOR,2017,51,31,52,30,4.21,-0.56,3.65,112.3,107.8,94.7,0.293,0.289,0.517,11.8,25.0,0.233,0.507,13.5,76.3,0.223,Air Canada Centre,"813,050",5,23,5,5,5.0,30.0,6.0,6.0,11.0,24.0,6.0,22.0,12.0,5.0,8.0,1.0,9.0,7.0,16.0,24.0,None,3,241.2,39.2,84.4,0.46399999999999997,8.8,24.3,0.363,30.3,60.0,0.505,19.7,24.7,0.7959999999999999,10.6,32.6,43.3,18.5,8.3,4.9,12.7,20.8,106.9,18,16,22,11.0,21,22,13.0,12,13,12.0,3,6,8.0,12,23,18,30,4,12,4,23,10,241.2,37.2,82.9,0.449,9.7,27.3,0.354,27.5,55.6,0.495,18.5,23.8,0.78,10.1,31.9,42.1,21.8,6.7,4.8,14.6,20.3,102.6,18,5,4,6.0,13,18,12.0,4,7,8.0,20,18,24.0,13,7,6,8,3,13,10,10,8
28,UTA,2017,51,31,52,30,3.94,0.06,4.0,109.6,105.3,91.6,0.28800000000000003,0.327,0.526,13.2,23.2,0.215,0.493,11.8,78.9,0.195,Vivint Smart Home Arena,"806,142",5,23,6,6,6.0,13.0,5.0,12.0,3.0,30.0,8.0,11.0,8.0,23.0,16.0,12.0,3.0,25.0,4.0,9.0,None,6,240.9,37.0,79.5,0.466,9.6,26.0,0.37200000000000005,27.3,53.5,0.511,17.1,22.9,0.747,9.4,33.8,43.2,20.1,6.7,5.0,13.6,18.8,100.7,25,28,30,9.0,13,17,9.0,24,26,9.0,22,16,24.0,19,13,19,28,29,8,13,8,28,240.9,36.3,82.0,0.44299999999999995,8.2,22.9,0.358,28.1,59.1,0.47600000000000003,16.0,20.7,0.769,9.0,31.1,40.2,17.8,7.3,3.8,12.1,20.2,96.8,25,2,3,2.0,3,2,17.0,9,15,1.0,6,6,10.0,4,2,1,1,8,3,29,12,1
29,WAS,2017,49,33,46,36,1.8,-0.45,1.36,111.2,109.3,97.4,0.254,0.284,0.528,12.8,24.1,0.19899999999999998,0.524,13.8,75.5,0.213,Verizon Center,"697,107",9,22,9,9,9.0,29.0,9.0,7.0,20.0,11.0,25.0,23.0,6.0,17.0,13.0,23.0,24.0,2.0,24.0,17.0,None,20,242.1,41.3,87.0,0.475,9.2,24.8,0.37200000000000005,32.1,62.3,0.515,17.3,22.1,0.784,10.3,32.6,42.9,23.9,8.5,4.1,14.2,21.3,109.2,7,2,10,3.0,16,20,8.0,4,6,7.0,20,22,12.0,13,24,22,6,2,24,20,27,5,242.1,39.7,85.1,0.466,9.9,27.1,0.364,29.8,58.0,0.514,18.2,24.2,0.7509999999999999,10.6,32.5,43.0,22.8,7.4,4.6,15.3,19.8,107.4,7,21,12,24.0,17,16,20.0,16,11,25.0,17,21,1.0,20,9,11,15,12,10,3,18,21
30,ATL,2018,24,58,27,55,-5.45,0.15,-5.3,105.0,110.6,98.3,0.23600000000000002,0.363,0.512,14.1,21.1,0.185,0.536,13.6,76.2,0.183,Philips Arena,"590,769",27,3,26,26,26.0,8.0,26.0,26.0,21.0,10.0,23.0,6.0,22.0,29.0,22.0,21.0,25.0,8.0,27.0,9.0,None,30,240.3,38.2,85.5,0.446,11.2,31.0,0.36,27.0,54.5,0.495,15.8,20.2,0.785,9.1,32.8,41.9,23.7,7.8,4.2,15.6,19.6,103.4,27,28,20,25.0,9,7,15.0,26,24,22.0,22,23,7.0,22,23,25,8,12,23,27,14,25,240.3,40.7,86.7,0.469,11.6,30.7,0.377,29.1,56.0,0.52,15.9,20.6,0.772,10.3,34.0,44.2,26.1,8.7,5.5,15.1,20.3,108.8,27,21,18,24.0,27,26,28.0,17,11,22.0,9,12,20.0,24,18,23,30,28,28,5,14,23
31,BOS,2018,55,27,51,31,3.59,-0.35,3.23,107.6,103.9,96.0,0.243,0.35700000000000004,0.518,13.0,21.5,0.188,0.495,13.0,78.4,0.191,TD Garden,"763,584",4,27,6,6,6.0,29.0,7.0,18.0,1.0,22.0,18.0,8.0,15.0,15.0,18.0,20.0,2.0,14.0,11.0,16.0,None,11,241.5,38.3,85.1,0.45,11.5,30.4,0.377,26.9,54.7,0.491,16.0,20.7,0.7709999999999999,9.4,35.1,44.5,22.5,7.4,4.5,14.0,19.7,104.0,12,25,25,21.0,7,10,2.0,27,23,25.0,21,20,17.0,20,6,8,20,23,18,15,17,20,241.5,37.4,85.0,0.44,9.4,27.7,0.33899999999999997,28.0,57.4,0.488,16.3,21.3,0.763,9.6,34.2,43.8,21.3,7.2,4.4,14.1,19.2,100.4,12,3,12,2.0,4,9,1.0,6,17,5.0,15,15,12.0,13,20,22,4,7,6,19,22,3
32,BRK,2018,28,54,31,51,-3.74,0.07,-3.67,106.9,110.6,98.9,0.26,0.41100000000000003,0.514,13.6,21.0,0.201,0.517,11.0,77.0,0.201,Barclays Center,"640,010",23,8,24,24,24.0,13.0,24.0,21.0,22.0,6.0,11.0,2.0,17.0,23.0,24.0,9.0,11.0,30.0,19.0,21.0,None,29,242.1,38.2,86.8,0.441,12.7,35.7,0.35600000000000004,25.5,51.1,0.5,17.4,22.6,0.772,9.7,34.8,44.4,23.7,6.2,4.8,15.2,20.6,106.6,5,27,10,29.0,2,2,20.0,29,29,19.0,8,11,14.0,15,9,9,9,30,16,25,23,14,242.1,41.7,89.4,0.466,9.0,24.5,0.369,32.6,64.9,0.503,17.9,23.4,0.7659999999999999,10.4,36.4,46.8,21.7,7.7,5.5,12.4,19.7,110.3,5,27,27,19.0,2,1,23.0,30,30,9.0,23,24,14.0,25,28,30,5,15,27,30,19,28
33,CHO,2018,36,46,42,40,0.26,-0.19,0.07,109.4,109.1,98.4,0.312,0.314,0.508,11.4,22.2,0.233,0.532,12.4,80.7,0.165,Spectrum Center,"671,404",20,11,17,17,17.0,23.0,18.0,13.0,16.0,8.0,1.0,22.0,25.0,2.0,16.0,1.0,23.0,25.0,1.0,1.0,None,26,241.2,39.0,86.7,0.45,10.0,27.2,0.369,28.9,59.4,0.48700000000000004,20.2,27.0,0.747,10.1,35.4,45.5,21.6,6.8,4.5,12.7,17.2,108.2,16,18,11,24.0,19,21,8.0,18,7,27.0,1,1,24.0,12,4,3,24,28,18,3,2,10,241.2,41.1,87.8,0.46799999999999997,11.3,30.1,0.375,29.8,57.7,0.516,14.5,18.2,0.795,8.4,35.3,43.7,24.7,6.6,4.9,13.6,22.4,108.0,16,25,24,22.0,26,19,27.0,23,19,19.0,2,1,30.0,2,25,19,26,2,20,24,1,19
34,CHI,2018,27,55,23,59,-7.04,0.2,-6.84,103.8,110.9,98.3,0.21600000000000003,0.35,0.49700000000000005,12.6,20.6,0.16399999999999998,0.542,12.4,80.6,0.184,United Center,"851,824",24,6,28,28,29.0,5.0,29.0,28.0,24.0,9.0,29.0,11.0,29.0,10.0,25.0,29.0,29.0,24.0,2.0,10.0,None,1,242.1,38.7,88.8,0.435,11.0,31.1,0.355,27.6,57.8,0.478,14.6,19.2,0.759,9.6,35.0,44.7,23.5,7.6,3.5,14.0,19.2,102.9,5,23,1,30.0,10,6,21.0,23,15,30.0,28,26,20.0,16,8,6,10,18,30,13,9,26,242.1,41.0,86.8,0.47200000000000003,12.1,32.7,0.37,28.9,54.1,0.534,15.9,20.2,0.787,8.4,37.2,45.7,25.9,7.2,5.2,13.6,17.4,110.0,5,23,20,27.0,30,30,24.0,14,4,30.0,10,7,29.0,1,30,26,29,5,24,24,29,27
35,CLE,2018,50,32,43,39,0.94,-0.35,0.59,112.9,111.9,98.0,0.275,0.379,0.547,12.6,20.1,0.214,0.54,12.2,77.3,0.166,Quicken Loans Arena,"843,042",6,25,14,14,14.0,28.0,14.0,5.0,29.0,12.0,8.0,4.0,3.0,11.0,27.0,6.0,28.0,26.0,17.0,2.0,None,2,240.6,40.4,84.8,0.47600000000000003,12.0,32.1,0.37200000000000005,28.4,52.6,0.54,18.1,23.3,0.779,8.5,33.7,42.1,23.4,7.1,3.8,13.7,18.6,110.9,23,10,26,4.0,3,5,6.0,20,28,5.0,6,9,10.0,27,17,23,12,24,28,10,5,5,240.6,41.8,88.3,0.474,11.7,31.7,0.368,30.2,56.6,0.5329999999999999,14.6,19.4,0.7559999999999999,9.9,33.7,43.6,25.9,7.5,4.1,13.5,20.7,109.9,23,30,25,28.0,28,29,22.0,24,13,28.0,3,4,5.0,18,17,18,28,12,3,26,7,26
36,DAL,2018,24,58,33,49,-3.04,0.34,-2.7,106.3,109.5,95.6,0.217,0.382,0.513,11.6,18.0,0.166,0.532,12.9,78.9,0.193,American Airlines Center,"811,453",27,3,22,22,22.0,4.0,22.0,24.0,17.0,26.0,27.0,3.0,19.0,3.0,30.0,28.0,22.0,16.0,7.0,17.0,None,5,241.5,38.1,85.9,0.444,11.8,32.8,0.36,26.4,53.1,0.496,14.2,18.7,0.763,8.1,33.1,41.3,22.7,7.0,3.8,12.3,19.2,102.3,12,29,17,26.0,5,4,17.0,28,27,21.0,29,29,19.0,30,21,27,19,25,29,1,10,28,241.5,39.3,83.8,0.469,10.7,29.4,0.363,28.6,54.4,0.526,16.2,21.4,0.757,8.8,36.9,45.8,23.5,7.2,4.5,13.7,19.6,105.4,12,14,5,23.0,16,16,15.0,10,6,25.0,13,16,6.0,5,29,27,15,7,8,23,20,12
37,DEN,2018,46,36,45,37,1.48,0.09,1.57,112.5,111.0,96.8,0.258,0.35700000000000004,0.536,13.4,25.7,0.198,0.539,12.6,77.5,0.17300000000000001,Pepsi Center,"702,796",14,17,11,11,11.0,12.0,11.0,6.0,25.0,16.0,13.0,9.0,6.0,22.0,2.0,13.0,26.0,19.0,15.0,6.0,None,20,242.4,40.7,86.6,0.47,11.5,30.9,0.371,29.2,55.7,0.525,17.1,22.3,0.767,11.0,33.5,44.5,25.1,7.6,4.9,15.0,18.7,110.0,4,7,12,10.0,6,8,7.0,14,21,8.0,12,12,18.0,2,20,7,5,17,12,23,6,6,242.4,41.3,86.7,0.47600000000000003,10.9,28.8,0.37799999999999995,30.4,57.9,0.525,15.0,20.4,0.738,9.8,31.9,41.6,24.7,8.0,4.8,13.8,20.7,108.5,4,26,19,30.0,21,10,30.0,25,20,24.0,7,8,1.0,14,2,2,25,20,16,22,6,22
38,DET,2018,39,43,41,41,-0.15,-0.11,-0.26,107.2,107.3,96.2,0.22699999999999998,0.33299999999999996,0.512,12.3,22.7,0.16899999999999998,0.524,13.7,78.5,0.172,Little Caesars Arena,"713,945",19,12,19,19,19.0,20.0,19.0,19.0,10.0,21.0,25.0,16.0,20.0,8.0,13.0,27.0,16.0,7.0,10.0,5.0,None,19,241.5,39.1,86.9,0.45,10.8,28.9,0.373,28.3,58.0,0.488,14.7,19.8,0.745,10.1,33.6,43.7,22.8,7.7,3.9,13.5,18.4,103.8,12,16,9,23.0,14,16,5.0,21,14,26.0,27,24,25.0,11,18,16,15,14,27,7,4,22,241.5,39.1,85.2,0.45899999999999996,11.1,30.8,0.359,28.0,54.4,0.515,14.6,18.9,0.7759999999999999,9.2,34.5,43.8,25.2,7.3,4.9,14.8,18.4,103.9,12,12,13,14.0,23,27,12.0,7,7,16.0,4,2,23.0,8,21,21,27,9,17,8,27,8
39,GSW,2018,58,24,56,26,5.98,-0.19,5.79,113.6,107.6,99.6,0.239,0.33899999999999997,0.569,14.1,21.0,0.195,0.504,12.6,76.3,0.18600000000000003,Oracle Arena,"803,436",3,28,3,3,3.0,22.0,3.0,3.0,11.0,5.0,20.0,15.0,1.0,28.0,23.0,16.0,5.0,21.0,25.0,11.0,None,7,240.6,42.8,85.1,0.503,11.3,28.9,0.391,31.5,56.2,0.56,16.6,20.3,0.815,8.4,35.1,43.5,29.3,8.0,7.5,15.5,19.6,113.5,23,1,24,1.0,8,17,1.0,5,20,1.0,18,22,1.0,28,7,17,1,9,1,26,15,1,240.6,40.2,90.0,0.447,10.4,29.2,0.35700000000000004,29.8,60.8,0.49,16.7,22.0,0.758,10.9,31.6,42.5,23.6,8.7,3.7,14.3,18.5,107.5,23,18,29,3.0,13,13,10.0,22,28,6.0,19,19,8.0,30,1,8,17,30,1,14,25,18
40,HOU,2018,65,17,61,21,8.48,-0.27,8.21,114.7,106.1,97.6,0.298,0.502,0.551,12.7,21.3,0.233,0.521,13.4,79.9,0.171,Toyota Center,"732,722",1,30,1,1,1.0,26.0,1.0,1.0,6.0,13.0,3.0,1.0,2.0,12.0,21.0,1.0,13.0,11.0,3.0,4.0,None,17,240.9,38.7,84.2,0.46,15.3,42.3,0.36200000000000004,23.4,41.9,0.5579999999999999,19.6,25.1,0.7809999999999999,9.0,34.5,43.5,21.5,8.5,4.8,13.8,19.5,112.4,18,22,27,15.0,1,1,13.0,30,30,2.0,2,3,9.0,24,10,18,26,5,15,12,12,2,240.9,39.6,85.6,0.462,10.1,28.8,0.35100000000000003,29.5,56.7,0.519,14.6,19.6,0.746,8.7,33.4,42.0,22.4,7.4,4.4,14.6,20.4,103.9,18,17,14,16.0,9,11,7.0,19,14,20.0,4,6,3.0,3,15,4,11,11,5,10,11,6
41,IND,2018,48,34,45,37,1.38,-0.2,1.18,109.5,108.1,96.0,0.222,0.284,0.525,12.3,22.7,0.17300000000000001,0.527,14.2,76.2,0.174,Bankers Life Fieldhouse,"658,119",8,20,12,12,12.0,24.0,13.0,11.0,13.0,23.0,26.0,26.0,12.0,6.0,12.0,24.0,19.0,2.0,26.0,7.0,None,27,240.9,40.8,86.4,0.47200000000000003,9.0,24.5,0.369,31.8,61.9,0.513,14.9,19.2,0.779,9.6,32.7,42.3,22.2,8.8,4.1,13.3,18.8,105.6,18,6,14,6.0,25,26,9.0,4,4,13.0,24,27,11.0,17,25,22,23,3,25,5,7,17,240.9,39.4,84.8,0.465,10.6,30.4,0.349,28.8,54.4,0.53,14.8,19.5,0.757,10.2,32.8,43.0,23.2,7.0,5.2,15.5,18.5,104.2,18,15,11,18.0,15,23,5.0,12,5,27.0,6,5,7.0,21,8,14,12,3,25,3,26,9
42,LAC,2018,42,40,41,41,0.04,0.11,0.15,110.3,110.2,98.7,0.299,0.314,0.527,13.2,23.5,0.222,0.52,12.6,76.1,0.203,STAPLES Center,"697,812",18,13,18,18,18.0,11.0,17.0,8.0,20.0,7.0,2.0,23.0,10.0,16.0,8.0,4.0,12.0,20.0,28.0,22.0,None,22,240.3,40.3,85.4,0.47100000000000003,9.5,26.8,0.354,30.8,58.6,0.525,19.0,25.5,0.743,10.1,33.7,43.9,22.3,7.7,4.5,14.7,20.0,109.0,27,11,21,9.0,22,22,23.0,7,12,8.0,4,2,26.0,10,16,15,22,14,18,19,18,9,240.3,40.2,87.7,0.45799999999999996,10.7,30.2,0.35600000000000004,29.5,57.5,0.512,17.8,22.7,0.782,10.6,33.0,43.6,24.6,8.5,5.6,14.1,22.0,109.0,27,19,23,12.0,18,21,9.0,20,18,14.0,21,21,25.0,28,13,17,24,27,29,21,2,24
43,LAL,2018,35,47,37,45,-1.55,0.11,-1.44,106.5,108.0,100.3,0.264,0.32899999999999996,0.517,13.8,23.6,0.188,0.514,12.5,77.7,0.19,STAPLES Center,"776,327",21,10,21,21,21.0,10.0,21.0,23.0,12.0,2.0,9.0,17.0,16.0,25.0,7.0,19.0,10.0,23.0,12.0,14.0,None,10,242.7,40.7,88.4,0.461,10.0,29.1,0.345,30.7,59.3,0.517,16.6,23.3,0.7140000000000001,10.7,35.7,46.4,23.8,7.7,4.7,15.8,21.2,108.1,3,7,2,14.0,20,15,29.0,8,8,11.0,16,8,30.0,4,2,2,7,13,17,29,24,11,242.7,41.0,89.9,0.456,10.4,30.1,0.34600000000000003,30.6,59.8,0.512,17.1,22.5,0.7609999999999999,10.2,34.6,44.8,23.6,8.3,5.5,14.3,20.5,109.6,3,24,28,10.0,14,20,3.0,26,25,13.0,20,20,10.0,23,22,24,16,25,26,16,9,25
44,MEM,2018,22,60,25,57,-6.21,0.39,-5.81,104.5,111.0,94.9,0.255,0.317,0.5,14.0,22.4,0.201,0.529,13.8,76.5,0.256,FedEx Forum,"653,863",29,2,27,27,27.0,2.0,27.0,27.0,26.0,29.0,14.0,21.0,28.0,27.0,15.0,10.0,21.0,6.0,22.0,30.0,None,28,240.3,36.7,82.8,0.444,9.2,26.2,0.35200000000000004,27.5,56.5,0.486,16.6,21.1,0.7859999999999999,9.5,31.0,40.5,21.5,7.5,4.8,15.0,23.2,99.3,27,30,30,27.0,24,24,25.0,24,19,28.0,17,16,6.0,18,30,29,26,22,14,23,30,29,240.3,37.1,80.3,0.462,10.7,29.0,0.368,26.5,51.3,0.516,20.6,26.8,0.769,9.5,33.0,42.5,22.1,8.1,5.1,14.8,20.4,105.5,27,1,1,17.0,16,12,20.0,1,2,17.0,30,30,18.0,12,12,8,9,21,23,9,10,13
45,MIA,2018,44,38,42,40,0.48,-0.33,0.15,106.8,106.3,95.6,0.22899999999999998,0.358,0.52,13.3,21.5,0.17300000000000001,0.507,13.1,79.0,0.215,AmericanAirlines Arena,"804,850",15,15,16,16,16.0,27.0,16.0,22.0,7.0,27.0,24.0,7.0,14.0,18.0,19.0,25.0,7.0,13.0,6.0,27.0,None,6,243.0,38.8,85.3,0.455,11.0,30.6,0.36,27.8,54.8,0.508,14.7,19.5,0.755,9.3,34.2,43.5,22.7,7.6,5.3,14.4,20.1,103.4,2,19,23,17.0,11,9,16.0,22,22,14.0,26,25,22.0,21,13,18,17,21,6,16,20,23,243.0,37.7,83.8,0.45,9.6,26.6,0.36,28.1,57.2,0.491,18.0,23.0,0.7829999999999999,9.1,34.0,43.1,21.0,7.5,4.6,14.1,19.4,102.9,2,4,6,7.0,6,6,13.0,8,16,7.0,25,22,26.0,6,19,15,3,13,10,18,21,4
46,MIL,2018,44,38,40,42,-0.3,-0.15,-0.45,109.8,110.1,96.2,0.281,0.297,0.531,12.9,20.4,0.22,0.528,14.2,75.9,0.22,BMO Harris Bradley Center,"685,303",15,15,20,20,20.0,21.0,20.0,9.0,19.0,20.0,4.0,25.0,8.0,14.0,26.0,5.0,20.0,3.0,29.0,29.0,None,24,241.8,39.7,83.0,0.478,8.8,24.7,0.355,31.0,58.3,0.531,18.3,23.4,0.7829999999999999,8.4,31.5,39.8,23.2,8.8,5.4,13.8,21.4,106.5,8,14,28,3.0,27,25,22.0,6,13,6.0,5,7,8.0,29,28,30,14,2,5,11,26,15,241.8,39.1,83.7,0.46799999999999997,10.1,27.1,0.37200000000000005,29.0,56.6,0.513,18.4,23.5,0.7829999999999999,10.0,32.8,42.7,23.6,7.1,4.5,15.6,19.9,106.8,8,13,4,20.0,9,7,25.0,15,12,15.0,27,25,27.0,19,8,12,18,4,7,2,16,16
