,Player,Prop,Over,Over Odds,Under,Under Odds
0,Bradley Beal,Points,32.5,-120,32.5,-102
1,Russell Westbrook,Points,22.5,-116,22.5,-106
2,Rui Hachimura,Points,12.5,100,12.5,-122
3,Ja Morant,Points,23.5,-116,23.5,-106
4,Dillon Brooks,Points,17.5,-116,17.5,-106
5,Jonas Valanciunas,Points,16.5,-114,16.5,-108
6,Kyle Anderson,Points,12.5,-102,12.5,-118
7,Desmond Bane,Points,9.5,-116,9.5,-104
8,Bradley Beal,Assists,4.5,-138,4.5,112
9,Russell Westbrook,Assists,10.5,-110,10.5,-110
10,Ja Morant,Assists,8.5,-115,8.5,-105
11,Dillon Brooks,Assists,2.5,-104,2.5,-118
12,Kyle Anderson,Assists,3.5,118,3.5,-144
13,Ja Morant,Reb + Ast,12.5,-130,12.5,102
14,Jonas Valanciunas,Reb + Ast,15.5,108,15.5,-138
15,Rui Hachimura,Reb + Ast,7.5,110,7.5,-140
16,Bradley Beal,Reb + Ast,10.5,-115,10.5,-111
17,Rui Hachimura,Rebounds,5.5,-132,5.5,108
18,Ja Morant,Rebounds,4.5,122,4.5,-150
19,Russell Westbrook,Rebounds,9.5,-106,9.5,-114
20,Jonas Valanciunas,Rebounds,13.5,106,13.5,-130
21,Russell Westbrook,Reb + Ast,20.5,102,20.5,-130
22,Bradley Beal,Rebounds,5.5,-114,5.5,-106
23,Dillon Brooks,Rebounds,2.5,-150,2.5,122
24,Dillon Brooks,Reb + Ast,5.5,-113,5.5,-113
25,Kyle Anderson,Rebounds,5.5,-114,5.5,-106
26,Desmond Bane,Rebounds,2.5,-152,2.5,124
27,Davis Bertans,Rebounds,3.5,120,3.5,-148
28,Brandon Clarke,Rebounds,5.5,-122,5.5,100
29,Ja Morant,Made Threes,1.5,154,1.5,-200
30,Dillon Brooks,Made Threes,2.5,132,2.5,-170
31,Bradley Beal,Made Threes,2.5,-115,2.5,-113
32,Kyle Anderson,Made Threes,1.5,122,1.5,-156
33,Davis Bertans,Made Threes,2.5,-142,2.5,112
34,Davis Bertans,Points,11.5,-108,11.5,-114
35,Brandon Clarke,Points,11.5,102,11.5,-126
36,Bradley Beal,Pts + Ast,37.5,-120,37.5,-106
37,Russell Westbrook,Pts + Ast,33.5,-115,33.5,-111
38,Ja Morant,Pts + Ast,32.5,-115,32.5,-111
39,Dillon Brooks,Pts + Ast,20.5,-106,20.5,-120
40,Bradley Beal,Pts + Reb,38.5,-118,38.5,-108
41,Russell Westbrook,Pts + Reb,32.5,-111,32.5,-115
42,Rui Hachimura,Pts + Reb,18.5,-106,18.5,-120
43,Ja Morant,Pts + Reb,28.5,-104,28.5,-122
