,Player,Prop,Over,Over Odds,Under,Under Odds
0,Devin Booker,Points,28.5,-118,28.5,-104
1,Chris Paul,Points,22.5,-108,22.5,-112
2,Deandre Ayton,Points,15.5,-108,15.5,-112
3,Mikal Bridges,Points,12.5,-116,12.5,-106
4,Jae Crowder,Points,10.5,-106,10.5,-116
5,Giannis Antetokounmpo,Points,32.5,-104,32.5,-118
6,Khris Middleton,Points,24.5,-116,24.5,-106
7,Jrue Holiday,Points,19.5,-104,19.5,-118
8,Brook Lopez,Points,11.5,-116,11.5,-106
9,P.J Tucker,Points,5.5,106,5.5,-130
10,Pat Connaughton,Points,6.5,-134,6.5,110
11,Cameron Johnson,Points,8.5,108,8.5,-132
12,Cameron Payne,Points,6.5,-106,6.5,-116
13,Devin Booker,Rebounds,4.5,-148,4.5,120
14,Chris Paul,Rebounds,4.5,120,4.5,-148
15,Deandre Ayton,Rebounds,12.5,-105,12.5,-115
16,Mikal Bridges,Rebounds,4.5,108,4.5,-132
17,Jae Crowder,Rebounds,6.5,100,6.5,-122
18,Giannis Antetokounmpo,Rebounds,12.5,-134,12.5,110
19,Khris Middleton,Rebounds,7.5,110,7.5,-134
20,Jrue Holiday,Rebounds,5.5,118,5.5,-144
21,Brook Lopez,Rebounds,5.5,-114,5.5,-106
22,P.J Tucker,Rebounds,5.5,116,5.5,-142
23,Pat Connaughton,Rebounds,4.5,-120,4.5,-102
24,Devin Booker,Assists,4.5,-138,4.5,112
25,Chris Paul,Assists,8.5,-124,8.5,102
26,Deandre Ayton,Assists,0.5,-230,0.5,184
27,Mikal Bridges,Assists,1.5,-132,1.5,108
28,Jae Crowder,Assists,1.5,-132,1.5,108
29,Giannis Antetokounmpo,Assists,5.5,126,5.5,-154
30,Khris Middleton,Assists,5.5,122,5.5,-150
31,Jrue Holiday,Assists,7.5,-142,7.5,116
32,P.J Tucker,Assists,1.5,186,1.5,-235
33,Devin Booker,Made Threes,2.5,100,2.5,-128
34,Chris Paul,Made Threes,2.5,146,2.5,-188
35,Mikal Bridges,Made Threes,1.5,-186,1.5,144
36,Giannis Antetokounmpo,Made Threes,0.5,-192,0.5,148
37,Khris Middleton,Made Threes,2.5,-125,2.5,-102
38,Jrue Holiday,Made Threes,1.5,-188,1.5,146
39,Brook Lopez,Made Threes,0.5,-225,0.5,172
40,P.J Tucker,Made Threes,0.5,-220,0.5,168
41,Cameron Johnson,Made Threes,1.5,-106,1.5,-120
42,Devin Booker,Pts + Ast,33.5,-122,33.5,-104
43,Chris Paul,Pts + Ast,31.5,-113,31.5,-113
44,Deandre Ayton,Pts + Ast,16.5,-115,16.5,-111
45,Mikal Bridges,Pts + Ast,14.5,-115,14.5,-111
46,Jae Crowder,Pts + Ast,12.5,-104,12.5,-122
47,Giannis Antetokounmpo,Pts + Ast,37.5,-113,37.5,-113
48,Khris Middleton,Pts + Ast,29.5,-125,29.5,-102
49,Jrue Holiday,Pts + Ast,27.5,-108,27.5,-118
50,Brook Lopez,Pts + Ast,12.5,102,12.5,-130
51,P.J Tucker,Pts + Ast,6.5,-104,6.5,-122
52,Devin Booker,Pts + Reb,34.5,-102,34.5,-125
53,Chris Paul,Pts + Reb,26.5,-120,26.5,-106
54,Deandre Ayton,Pts + Reb,28.5,-102,28.5,-125
55,Mikal Bridges,Pts + Reb,17.5,-104,17.5,-120
56,Jae Crowder,Pts + Reb,17.5,100,17.5,-128
57,Giannis Antetokounmpo,Pts + Reb,45.5,-108,45.5,-118
58,Khris Middleton,Pts + Reb,32.5,-108,32.5,-118
59,Jrue Holiday,Pts + Reb,24.5,-115,24.5,-111
60,Brook Lopez,Pts + Reb,17.5,-113,17.5,-113
61,P.J Tucker,Pts + Reb,10.5,-115,10.5,-111
62,Pat Connaughton,Pts + Reb,11.5,-128,11.5,100
63,Devin Booker,Reb + Ast,9.5,-138,9.5,108
64,Chris Paul,Reb + Ast,13.5,106,13.5,-136
65,Deandre Ayton,Reb + Ast,13.5,-115,13.5,-111
66,Mikal Bridges,Reb + Ast,6.5,108,6.5,-136
67,Jae Crowder,Reb + Ast,8.5,106,8.5,-136
68,Giannis Antetokounmpo,Reb + Ast,18.5,102,18.5,-130
69,Khris Middleton,Reb + Ast,12.5,-104,12.5,-122
70,Jrue Holiday,Reb + Ast,13.5,-102,13.5,-125
71,Brook Lopez,Reb + Ast,5.5,-148,5.5,116
72,P.J Tucker,Reb + Ast,6.5,100,6.5,-128
73,Devin Booker,Pts + Reb + Ast,39.5,-102,39.5,-125
74,Chris Paul,Pts + Reb + Ast,35.5,-118,35.5,-108
75,Deandre Ayton,Pts + Reb + Ast,29.5,-108,29.5,-118
76,Mikal Bridges,Pts + Reb + Ast,19.5,-104,19.5,-122
77,Jae Crowder,Pts + Reb + Ast,18.5,-122,18.5,-104
78,G Antetokounmpo,Pts + Reb + Ast,50.5,102,50.5,-130
79,Khris Middleton,Pts + Reb + Ast,37.5,-111,37.5,-115
80,Jrue Holiday,Pts + Reb + Ast,32.5,-118,32.5,-108
81,Brook Lopez,Pts + Reb + Ast,17.5,-125,17.5,-102
82,P.J Tucker,Pts + Reb + Ast,11.5,-122,11.5,-104
