,Player,Prop,Over,Over Odds,Under,Under Odds
89,Dennis Schroder,Assists,6.5,110,6.5,-134
90,Bam Adebayo,Assists,4.5,-154,4.5,126
91,Andre Drummond,Assists,2.5,114,2.5,-140
92,Markieff Morris,Made Threes,1.5,-148,1.5,116
93,Jimmy Butler,Made Threes,0.5,104,0.5,-132
94,Kyle Kuzma,Made Threes,2.5,100,2.5,-128
95,Dennis Schroder,Made Threes,1.5,102,1.5,-130
96,Victor Oladipo,Made Threes,1.5,-174,1.5,136
97,Duncan Robinson,Made Threes,3.5,138,3.5,-180
98,Trevor Ariza,Made Threes,1.5,150,1.5,-194
99,Kentavious Caldwell-Pope,Made Threes,1.5,-132,1.5,104
100,Dennis Schroder,Reb + Ast,9.5,-113,9.5,-113
101,Bam Adebayo,Reb + Ast,14.5,-118,14.5,-108
102,Markieff Morris,Reb + Ast,7.5,102,7.5,-130
103,Kyle Kuzma,Reb + Ast,8.5,-128,8.5,100
104,Jimmy Butler,Reb + Ast,13.5,106,13.5,-136
105,Victor Oladipo,Reb + Ast,7.5,-136,7.5,106
106,Dennis Schroder,Pts + Ast,22.5,112,22.5,-142
107,Kyle Kuzma,Pts + Ast,18.5,-104,18.5,-122
108,Markieff Morris,Pts + Ast,12.5,-108,12.5,-118
109,Jimmy Butler,Pts + Ast,27.5,-104,27.5,-122
110,Bam Adebayo,Pts + Ast,23.5,-104,23.5,-122
111,Victor Oladipo,Pts + Ast,19.5,100,19.5,-128
112,Dennis Schroder,Pts + Reb,19.5,-111,19.5,-115
113,Kyle Kuzma,Pts + Reb,22.5,-104,22.5,-120
114,Markieff Morris,Pts + Reb,16.5,-102,16.5,-125
115,Jimmy Butler,Pts + Reb,28.5,-104,28.5,-122
116,Bam Adebayo,Pts + Reb,27.5,-120,27.5,-106
117,Victor Oladipo,Pts + Reb,19.5,-113,19.5,-113
118,Dennis Schroder,Pts + Reb + Ast,25.5,-106,25.5,-120
119,Kyle Kuzma,Pts + Reb + Ast,24.5,-122,24.5,-104
120,Markieff Morris,Pts + Reb + Ast,17.5,-128,17.5,100
121,Jimmy Butler,Pts + Reb + Ast,34.5,-108,34.5,-118
122,Bam Adebayo,Pts + Reb + Ast,32.5,-120,32.5,-104
123,Victor Oladipo,Pts + Reb + Ast,23.5,104,23.5,-132
124,Duncan Robinson,Pts + Ast,13.5,-115,13.5,-111
125,Andre Drummond,Pts + Ast,15.5,-115,15.5,-111
126,Duncan Robinson,Pts + Reb,15.5,-113,15.5,-113
127,Trevor Ariza,Pts + Reb,11.5,-113,11.5,-113
128,Andre Drummond,Pts + Reb,23.5,-115,23.5,-111
