,Player,Prop,Over,Over Odds,Under,Under Odds
0,Julius Randle,Points,22.5,-122,22.5,100
1,RJ Barrett,Points,16.5,102,16.5,-124
2,Reggie Bullock,Points,9.5,102,9.5,-124
3,Markieff Morris,Points,10.5,-104,10.5,-118
4,Andre Drummond,Points,14.5,-118,14.5,-104
5,Dennis Schroder,Points,16.5,-102,16.5,-120
6,Kentavious Caldwell-Pope,Points,10.5,100,10.5,-122
7,Elfrid Payton,Points,8.5,-102,8.5,-120
8,Nerlens Noel,Points,6.5,106,6.5,-128
9,Reggie Bullock,Rebounds,2.5,-128,2.5,104
10,Julius Randle,Rebounds,9.5,-122,9.5,100
11,RJ Barrett,Rebounds,5.5,114,5.5,-140
12,Markieff Morris,Rebounds,5.5,102,5.5,-124
13,Andre Drummond,Rebounds,11.5,-112,11.5,-108
14,Dennis Schroder,Rebounds,3.5,118,3.5,-144
15,Elfrid Payton,Rebounds,2.5,-158,2.5,128
16,Kentavious Caldwell-Pope,Rebounds,2.5,-128,2.5,104
17,Nerlens Noel,Rebounds,6.5,102,6.5,-124
18,RJ Barrett,Assists,2.5,-134,2.5,110
19,Julius Randle,Assists,5.5,-104,5.5,-118
20,Andre Drummond,Assists,2.5,136,2.5,-168
21,Dennis Schroder,Assists,6.5,-118,6.5,-104
22,Elfrid Payton,Assists,2.5,-118,2.5,-104
23,RJ Barrett,Made Threes,1.5,110,1.5,-140
24,Reggie Bullock,Made Threes,2.5,150,2.5,-194
25,Julius Randle,Made Threes,2.5,142,2.5,-184
26,Dennis Schroder,Made Threes,1.5,142,1.5,-184
27,Kentavious Caldwell-Pope,Made Threes,1.5,-142,1.5,112
28,Markieff Morris,Made Threes,1.5,-125,1.5,-102
29,Reggie Bullock,Reb + Ast,3.5,-158,3.5,124
30,Julius Randle,Reb + Ast,15.5,-106,15.5,-120
31,RJ Barrett,Reb + Ast,8.5,108,8.5,-138
32,Dennis Schroder,Reb + Ast,10.5,108,10.5,-138
33,Andre Drummond,Reb + Ast,13.5,-128,13.5,100
34,Elfrid Payton,Reb + Ast,5.5,-128,5.5,100
35,Julius Randle,Pts + Ast,28.5,-120,28.5,-106
36,RJ Barrett,Pts + Ast,18.5,-128,18.5,100
37,Reggie Bullock,Pts + Ast,10.5,-113,10.5,-115
38,Andre Drummond,Pts + Ast,17.5,-104,17.5,-122
39,Dennis Schroder,Pts + Ast,23.5,-104,23.5,-122
40,Elfrid Payton,Pts + Ast,11.5,100,11.5,-128
41,Julius Randle,Pts + Reb,32.5,-125,32.5,-102
42,RJ Barrett,Pts + Reb,21.5,-111,21.5,-115
43,Reggie Bullock,Pts + Reb,12.5,100,12.5,-128
44,Markieff Morris,Pts + Reb,15.5,-125,15.5,-102
45,Andre Drummond,Pts + Reb,26.5,-115,26.5,-111
46,Dennis Schroder,Pts + Reb,19.5,-115,19.5,-111
47,Julius Randle,Pts + Reb + Ast,38.5,-115,38.5,-111
48,RJ Barrett,Pts + Reb + Ast,24.5,-111,24.5,-115
49,Reggie Bullock,Pts + Reb + Ast,13.5,-111,13.5,-115
50,Andre Drummond,Pts + Reb + Ast,28.5,-125,28.5,-102
51,Dennis Schroder,Pts + Reb + Ast,26.5,-115,26.5,-111
52,Elfrid Payton,Pts + Reb + Ast,14.5,-108,14.5,-118
53,Markieff Morris,Pts + Ast,11.5,-118,11.5,-108
54,Kentavious Caldwell-Pope,Pts + Ast,12.5,104,12.5,-132
55,Nerlens Noel,Pts + Ast,6.5,-132,6.5,104
56,Elfrid Payton,Pts + Reb,11.5,-113,11.5,-113
57,Kentavious Caldwell-Pope,Pts + Reb,13.5,100,13.5,-128
58,Nerlens Noel,Pts + Reb,12.5,-122,12.5,-104
59,Markieff Morris,Pts + Reb + Ast,17.5,-104,17.5,-122
60,K Caldwell-Pope,Pts + Reb + Ast,14.5,-128,14.5,100
61,Nerlens Noel,Pts + Reb + Ast,13.5,-111,13.5,-115
62,Markieff Morris,Reb + Ast,6.5,-120,6.5,-106
63,Kentavious Caldwell-Pope,Reb + Ast,4.5,-115,4.5,-111
64,Nerlens Noel,Reb + Ast,6.5,-142,6.5,112
