,Player,Prop,Over,Over Odds,Under,Under Odds
0,Luka Doncic,Points,29.5,-106,29.5,-116
1,Kristaps Porzingis,Points,20.5,-104,20.5,-118
2,Josh Richardson,Points,12.5,-102,12.5,-118
3,Dorian Finney-Smith,Points,8.5,-108,8.5,-112
4,Maxi Kleber,Points,6.5,-118,6.5,-104
5,Nikola Vucevic,Points,26.5,-120,26.5,-102
6,Evan Fournier,Points,18.5,-116,18.5,-106
7,Michael Carter-Williams,Points,8.5,106,8.5,-128
8,Luka Doncic,Assists,9.5,-102,9.5,-120
9,Evan Fournier,Assists,3.5,-134,3.5,110
10,Nikola Vucevic,Assists,3.5,-105,3.5,-115
11,Michael Carter-Williams,Assists,4.5,-134,4.5,110
12,Josh Richardson,Assists,2.5,-130,2.5,106
13,Nikola Vucevic,Rebounds,12.5,106,12.5,-130
14,Luka Doncic,Rebounds,8.5,-104,8.5,-118
15,Maxi Kleber,Rebounds,4.5,-142,4.5,116
16,Dorian Finney-Smith,Rebounds,5.5,118,5.5,-144
17,Michael Carter-Williams,Rebounds,4.5,-130,4.5,106
18,Evan Fournier,Rebounds,3.5,112,3.5,-138
19,Luka Doncic,Reb + Ast,17.5,-128,17.5,100
20,Kristaps Porzingis,Reb + Ast,9.5,-136,9.5,106
21,Josh Richardson,Rebounds,3.5,132,3.5,-162
22,Kristaps Porzingis,Rebounds,8.5,-104,8.5,-118
23,Nikola Vucevic,Reb + Ast,15.5,-125,15.5,-102
24,Al Farouq Aminu,Rebounds,5.5,100,5.5,-122
25,Dwayne Bacon,Rebounds,2.5,-162,2.5,132
26,Luka Doncic,Made Threes,2.5,-146,2.5,114
27,Josh Richardson,Made Threes,1.5,-104,1.5,-122
28,Nikola Vucevic,Made Threes,2.5,102,2.5,-130
29,Dorian Finney-Smith,Made Threes,1.5,-118,1.5,-108
30,Evan Fournier,Made Threes,2.5,124,2.5,-160
31,Kristaps Porzingis,Made Threes,1.5,-178,1.5,138
32,Maxi Kleber,Made Threes,1.5,112,1.5,-142
33,Dwayne Bacon,Made Threes,1.5,140,1.5,-180
34,Al Farouq Aminu,Points,6.5,112,6.5,-136
35,Dwayne Bacon,Points,12.5,102,12.5,-124
36,Luka Doncic,Pts + Ast,38.5,102,38.5,-130
37,Josh Richardson,Pts + Ast,15.5,-104,15.5,-122
38,Dorian Finney-Smith,Pts + Ast,9.5,-125,9.5,-102
39,Nikola Vucevic,Pts + Ast,30.5,-113,30.5,-113
40,Evan Fournier,Pts + Ast,22.5,-115,22.5,-111
41,Luka Doncic,Pts + Reb,37.5,-118,37.5,-108
42,Kristaps Porzingis,Pts + Reb,28.5,-122,28.5,-104
43,Josh Richardson,Pts + Reb,15.5,-113,15.5,-113
44,Dorian Finney-Smith,Pts + Reb,13.5,-120,13.5,-106
45,Maxi Kleber,Pts + Reb,11.5,-125,11.5,-102
