,Player,Prop,Over,Over Odds,Under,Under Odds
0,Ja Morant,Points,19.5,-104,19.5,-118
1,Jonas Valanciunas,Points,17.5,-114,17.5,-108
2,Dillon Brooks,Points,16.5,-104,16.5,-118
3,Bradley Beal,Points,33.5,-104,33.5,-118
4,Russell Westbrook,Points,23.5,-104,23.5,-118
5,Rui Hachimura,Points,13.5,-104,13.5,-118
6,Desmond Bane,Points,10.5,-114,10.5,-108
7,Bradley Beal,Assists,4.5,-152,4.5,124
8,Russell Westbrook,Assists,10.5,100,10.5,-122
9,Ja Morant,Assists,8.5,100,8.5,-122
10,Russell Westbrook,Reb + Ast,20.5,-120,20.5,-106
11,Ja Morant,Rebounds,3.5,-134,3.5,110
12,Rui Hachimura,Rebounds,6.5,108,6.5,-132
13,Bradley Beal,Reb + Ast,10.5,-128,10.5,100
14,Russell Westbrook,Rebounds,10.5,110,10.5,-134
15,Ja Morant,Reb + Ast,12.5,-104,12.5,-122
16,Jonas Valanciunas,Rebounds,12.5,-105,12.5,-115
17,Bradley Beal,Rebounds,5.5,-120,5.5,-102
18,Desmond Bane,Rebounds,3.5,100,3.5,-122
19,Ja Morant,Made Threes,1.5,200,1.5,-265
20,Bradley Beal,Made Threes,2.5,-132,2.5,104
21,Dillon Brooks,Made Threes,2.5,124,2.5,-160
22,Desmond Bane,Made Threes,1.5,-128,1.5,100
23,Rui Hachimura,Made Threes,0.5,-166,0.5,130
24,Ja Morant,Pts + Ast,27.5,-115,27.5,-111
25,Bradley Beal,Pts + Ast,38.5,-108,38.5,-118
26,Russell Westbrook,Pts + Ast,33.5,-115,33.5,-111
27,Ja Morant,Pts + Reb,23.5,-108,23.5,-118
28,Jonas Valanciunas,Pts + Reb,30.5,-111,30.5,-115
29,Dillon Brooks,Pts + Reb,19.5,-111,19.5,-115
30,Bradley Beal,Pts + Reb,38.5,-120,38.5,-106
31,Russell Westbrook,Pts + Reb,33.5,-113,33.5,-113
32,Rui Hachimura,Pts + Reb,19.5,-118,19.5,-108
33,Ja Morant,Pts + Reb + Ast,31.5,-115,31.5,-111
34,Dillon Brooks,Pts + Reb + Ast,21.5,-111,21.5,-115
35,Bradley Beal,Pts + Reb + Ast,44.5,-106,44.5,-120
36,Russell Westbrook,Pts + Reb + Ast,44.5,-106,44.5,-120
37,Rui Hachimura,Pts + Reb + Ast,21.5,-115,21.5,-111
38,Desmond Bane,Pts + Ast,12.5,-113,12.5,-113
39,Desmond Bane,Pts + Reb,14.5,-104,14.5,-122
40,Desmond Bane,Pts + Reb + Ast,16.5,-104,16.5,-122
41,Desmond Bane,Reb + Ast,5.5,102,5.5,-130
42,Trae Young,Points,25.5,-110,25.5,-110
43,John Collins,Points,18.5,-106,18.5,-116
44,Clint Capela,Points,14.5,-112,14.5,-108
45,Kevin Huerter,Points,11.5,-112,11.5,-110
46,Kelly Olynyk,Points,9.5,-108,9.5,-112
47,Bam Adebayo,Points,18.5,-112,18.5,-108
48,Kendrick Nunn,Points,14.5,100,14.5,-122
49,Duncan Robinson,Points,12.5,-104,12.5,-116
50,Trae Young,Assists,9.5,-104,9.5,-118
