,Player,Prop,Over,Over Odds,Under,Under Odds
0,John Wall,Points,21.5,-102,21.5,-120
1,Victor Oladipo,Points,18.5,-106,18.5,-116
2,Jae'Sean Tate,Points,10.5,-110,10.5,-110
3,Fred VanVleet,Points,20.5,100,20.5,-122
4,Pascal Siakam,Points,21.5,-118,21.5,-102
5,Norman Powell,Points,19.5,100,19.5,-122
6,Kyle Lowry,Points,17.5,-118,17.5,-104
7,OG Anunoby,Points,12.5,-116,12.5,-106
8,Pascal Siakam,Assists,4.5,108,4.5,-132
9,John Wall,Assists,6.5,-122,6.5,100
10,Victor Oladipo,Assists,4.5,106,4.5,-130
11,Kyle Lowry,Assists,6.5,-104,6.5,-118
12,Fred VanVleet,Assists,6.5,106,6.5,-130
13,Fred VanVleet,Rebounds,4.5,-104,4.5,-118
14,OG Anunoby,Rebounds,6.5,112,6.5,-138
15,Victor Oladipo,Reb + Ast,9.5,-136,9.5,106
16,Kyle Lowry,Reb + Ast,12.5,-108,12.5,-120
17,Fred VanVleet,Reb + Ast,10.5,-128,10.5,100
18,Victor Oladipo,Rebounds,5.5,-110,5.5,-110
19,Pascal Siakam,Reb + Ast,12.5,-118,12.5,-108
20,Norman Powell,Rebounds,3.5,-142,3.5,116
21,Pascal Siakam,Rebounds,8.5,104,8.5,-128
22,John Wall,Rebounds,3.5,-110,3.5,-110
23,Kyle Lowry,Rebounds,5.5,-130,5.5,106
24,John Wall,Reb + Ast,10.5,-106,10.5,-120
25,Jae'Sean Tate,Rebounds,6.5,-140,6.5,114
26,P.J Tucker,Rebounds,5.5,-128,5.5,104
27,Norman Powell,Made Threes,2.5,-120,2.5,-104
28,Fred VanVleet,Made Threes,3.5,126,3.5,-162
29,Victor Oladipo,Made Threes,2.5,-111,2.5,-115
30,Pascal Siakam,Made Threes,1.5,130,1.5,-166
31,Kyle Lowry,Made Threes,2.5,-120,2.5,-106
32,OG Anunoby,Made Threes,1.5,-138,1.5,108
33,John Wall,Made Threes,2.5,100,2.5,-128
34,P.J Tucker,Points,4.5,-124,4.5,102
35,John Wall,Pts + Ast,27.5,-122,27.5,-104
36,Victor Oladipo,Pts + Ast,22.5,-120,22.5,-106
37,Fred VanVleet,Pts + Ast,26.5,-111,26.5,-115
38,Pascal Siakam,Pts + Ast,26.5,112,26.5,-142
39,Norman Powell,Pts + Ast,21.5,-102,21.5,-125
40,Kyle Lowry,Pts + Ast,24.5,-111,24.5,-115
41,John Wall,Pts + Reb,24.5,-120,24.5,-106
42,Victor Oladipo,Pts + Reb,24.5,-106,24.5,-120
43,Jae'Sean Tate,Pts + Reb,17.5,-118,17.5,-108
44,Fred VanVleet,Pts + Reb,24.5,-120,24.5,-108
45,Pascal Siakam,Pts + Reb,30.5,-108,30.5,-118
46,Norman Powell,Pts + Reb,23.5,-104,23.5,-122
47,John Wall,Pts + Reb + Ast,31.5,-118,31.5,-108
48,Victor Oladipo,Pts + Reb + Ast,28.5,-115,28.5,-111
49,Fred VanVleet,Pts + Reb + Ast,31.5,-106,31.5,-120
50,Pascal Siakam,Pts + Reb + Ast,34.5,-115,34.5,-111
51,Norman Powell,Pts + Reb + Ast,25.5,-106,25.5,-120
52,Kyle Lowry,Pts + Reb + Ast,30.5,-113,30.5,-113
53,Jae'Sean Tate,Pts + Ast,12.5,-113,12.5,-113
54,Kyle Lowry,Pts + Reb,23.5,-120,23.5,-106
55,OG Anunoby,Pts + Reb,18.5,-122,18.5,-104
56,P.J Tucker,Pts + Reb,10.5,-122,10.5,-104
