,Player,Prop,Over,Over Odds,Under,Under Odds
0,Zion Williamson,Points,29.5,-122,29.5,100
1,Brandon Ingram,Points,23.5,-118,23.5,-104
2,Eric Bledsoe,Points,11.5,-104,11.5,-116
3,Wendell Carter,Points,12.5,-116,12.5,-106
4,Chuma Okeke,Points,12.5,-106,12.5,-116
5,Steven Adams,Points,7.5,-108,7.5,-114
6,Lonzo Ball,Points,12.5,-112,12.5,-108
7,Brandon Ingram,Rebounds,5.5,122,5.5,-148
8,Zion Williamson,Rebounds,8.5,112,8.5,-138
9,Eric Bledsoe,Rebounds,3.5,120,3.5,-148
10,Chuma Okeke,Rebounds,4.5,-142,4.5,116
11,Wendell Carter,Rebounds,8.5,-114,8.5,-106
12,Steven Adams,Rebounds,9.5,-104,9.5,-118
13,Lonzo Ball,Rebounds,3.5,-152,3.5,124
14,Gary Harris,Rebounds,2.5,146,2.5,-180
15,Eric Bledsoe,Assists,3.5,112,3.5,-138
16,Chuma Okeke,Assists,2.5,-154,2.5,126
17,Zion Williamson,Assists,3.5,-140,3.5,114
18,Brandon Ingram,Assists,4.5,116,4.5,-142
19,Wendell Carter,Assists,1.5,-192,1.5,154
20,Lonzo Ball,Assists,5.5,120,5.5,-148
21,Gary Harris,Assists,2.5,128,2.5,-158
22,Eric Bledsoe,Made Threes,1.5,102,1.5,-130
23,Chuma Okeke,Made Threes,1.5,-118,1.5,-108
24,Brandon Ingram,Made Threes,2.5,142,2.5,-184
25,Lonzo Ball,Made Threes,2.5,106,2.5,-136
26,Zion Williamson,Reb + Ast,12.5,102,12.5,-130
27,Brandon Ingram,Reb + Ast,9.5,-106,9.5,-120
28,Chuma Okeke,Reb + Ast,7.5,-142,7.5,112
29,Eric Bledsoe,Reb + Ast,6.5,-115,6.5,-111
30,Wendell Carter,Reb + Ast,10.5,-125,10.5,-102
31,Lonzo Ball,Reb + Ast,9.5,-102,9.5,-125
32,Zion Williamson,Pts + Ast,34.5,-102,34.5,-125
33,Brandon Ingram,Pts + Ast,28.5,-113,28.5,-113
34,Eric Bledsoe,Pts + Ast,14.5,-125,14.5,-102
35,Wendell Carter,Pts + Ast,14.5,-125,14.5,-102
36,Chuma Okeke,Pts + Ast,15.5,-111,15.5,-115
37,Lonzo Ball,Pts + Ast,17.5,-125,17.5,-102
38,Zion Williamson,Pts + Reb,38.5,-106,38.5,-120
39,Brandon Ingram,Pts + Reb,29.5,-106,29.5,-120
40,Eric Bledsoe,Pts + Reb,14.5,-122,14.5,-104
41,Wendell Carter,Pts + Reb,22.5,-115,22.5,-111
42,Chuma Okeke,Pts + Reb,17.5,-115,17.5,-111
43,Steven Adams,Pts + Reb,16.5,-128,16.5,100
44,Zion Williamson,Pts + Reb + Ast,42.5,-111,42.5,-115
