,Player,Prop,Over,Over Odds,Under,Under Odds
0,Dennis Schroder,Points,16.5,-106,16.5,-116
1,Kyle Kuzma,Points,14.5,-110,14.5,-110
2,Kentavious Caldwell-Pope,Points,8.5,-126,8.5,102
3,Royce O'Neale,Points,7.5,110,7.5,-134
4,Joe Ingles,Points,14.5,-124,14.5,102
5,Andre Drummond,Points,14.5,-104,14.5,-118
6,Jordan Clarkson,Points,24.5,100,24.5,-122
7,Bojan Bogdanovic,Points,20.5,-110,20.5,-110
8,Kentavious Caldwell-Pope,Rebounds,2.5,-120,2.5,-102
9,Kyle Kuzma,Rebounds,5.5,-122,5.5,100
10,Dennis Schroder,Rebounds,3.5,-105,3.5,-115
11,Royce O'Neale,Rebounds,7.5,-122,7.5,100
12,Joe Ingles,Rebounds,5.5,114,5.5,-140
13,Andre Drummond,Rebounds,10.5,-112,10.5,-108
14,Jordan Clarkson,Rebounds,5.5,-130,5.5,106
15,Bojan Bogdanovic,Rebounds,5.5,118,5.5,-144
16,Dennis Schroder,Assists,6.5,116,6.5,-142
17,Royce O'Neale,Assists,3.5,134,3.5,-164
18,Joe Ingles,Assists,5.5,-124,5.5,102
19,Jordan Clarkson,Assists,3.5,116,3.5,-142
20,Bojan Bogdanovic,Assists,2.5,128,2.5,-158
21,Kentavious Caldwell-Pope,Made Threes,1.5,100,1.5,-128
22,Kyle Kuzma,Made Threes,2.5,138,2.5,-178
23,Dennis Schroder,Made Threes,1.5,190,1.5,-250
24,Royce O'Neale,Made Threes,1.5,150,1.5,-194
25,Joe Ingles,Made Threes,2.5,-130,2.5,102
26,Jordan Clarkson,Made Threes,3.5,106,3.5,-136
27,Bojan Bogdanovic,Made Threes,2.5,134,2.5,-172
28,Dennis Schroder,Reb + Ast,9.5,-125,9.5,-102
29,Kyle Kuzma,Reb + Ast,7.5,-138,7.5,108
30,Kentavious Caldwell-Pope,Reb + Ast,4.5,-146,4.5,114
31,Royce O'Neale,Reb + Ast,10.5,-136,10.5,106
32,Joe Ingles,Reb + Ast,11.5,108,11.5,-138
33,Dennis Schroder,Pts + Ast,22.5,-115,22.5,-111
34,Kyle Kuzma,Pts + Ast,16.5,-122,16.5,-104
35,Kentavious Caldwell-Pope,Pts + Ast,11.5,-102,11.5,-125
36,Royce O'Neale,Pts + Ast,10.5,-106,10.5,-120
37,Joe Ingles,Pts + Ast,20.5,-128,20.5,100
38,Dennis Schroder,Pts + Reb,20.5,-102,20.5,-125
39,Kyle Kuzma,Pts + Reb,20.5,-115,20.5,-111
40,Kentavious Caldwell-Pope,Pts + Reb,11.5,-120,11.5,-106
41,Royce O'Neale,Pts + Reb,15.5,100,15.5,-128
42,Joe Ingles,Pts + Reb,20.5,-111,20.5,-115
43,Dennis Schroder,Pts + Reb + Ast,26.5,-111,26.5,-115
44,Kyle Kuzma,Pts + Reb + Ast,22.5,-122,22.5,-104
45,K Caldwell-Pope,Pts + Reb + Ast,14.5,100,14.5,-128
46,Royce O'Neale,Pts + Reb + Ast,18.5,-108,18.5,-118
47,Joe Ingles,Pts + Reb + Ast,26.5,-108,26.5,-115
48,Andre Drummond,Pts + Ast,16.5,-104,16.5,-122
49,Jordan Clarkson,Pts + Ast,27.5,-113,27.5,-113
50,Bojan Bogdanovic,Pts + Ast,22.5,-125,22.5,-102
51,Andre Drummond,Pts + Reb,25.5,-106,25.5,-120
52,Jordan Clarkson,Pts + Reb,30.5,-104,30.5,-122
53,Bojan Bogdanovic,Pts + Reb,25.5,-120,25.5,-106
54,Andre Drummond,Pts + Reb + Ast,27.5,-104,27.5,-120
55,Jordan Clarkson,Pts + Reb + Ast,33.5,-113,33.5,-113
56,Bojan Bogdanovic,Pts + Reb + Ast,28.5,-106,28.5,-120
57,Andre Drummond,Reb + Ast,12.5,-122,12.5,-104
58,Jordan Clarkson,Reb + Ast,9.5,102,9.5,-130
59,Bojan Bogdanovic,Reb + Ast,7.5,-108,7.5,-118
60,Collin Sexton,Points,23.5,-122,23.5,100
61,Darius Garland,Points,16.5,-110,16.5,-110
62,Jarrett Allen,Points,13.5,100,13.5,-122
63,Kevin Love,Points,12.5,-110,12.5,-110
64,Isaac Okoro,Points,8.5,-102,8.5,-118
65,Nikola Vucevic,Points,24.5,-108,24.5,-112
66,Patrick Williams,Points,9.5,102,9.5,-124
67,Kevin Love,Rebounds,6.5,-110,6.5,-110
68,Nikola Vucevic,Rebounds,10.5,-122,10.5,100
69,Jarrett Allen,Rebounds,10.5,102,10.5,-124
70,Darius Garland,Rebounds,2.5,106,2.5,-130
71,Collin Sexton,Rebounds,2.5,-152,2.5,124
72,Patrick Williams,Rebounds,4.5,108,4.5,-132
73,Isaac Okoro,Rebounds,2.5,-138,2.5,112
74,Collin Sexton,Assists,3.5,-104,3.5,-118
75,Nikola Vucevic,Assists,4.5,102,4.5,-124
76,Darius Garland,Assists,5.5,-144,5.5,118
77,Darius Garland,Made Threes,1.5,-138,1.5,108
78,Collin Sexton,Made Threes,1.5,110,1.5,-140
79,Kevin Love,Made Threes,1.5,-154,1.5,122
80,Nikola Vucevic,Made Threes,2.5,-113,2.5,-113
81,Isaac Okoro,Made Threes,0.5,-146,0.5,114
82,Darius Garland,Reb + Ast,8.5,-113,8.5,-113
83,Nikola Vucevic,Reb + Ast,15.5,-113,15.5,-113
84,Jarrett Allen,Reb + Ast,11.5,-138,11.5,108
85,Kevin Love,Reb + Ast,8.5,-132,8.5,104
86,Collin Sexton,Reb + Ast,6.5,-115,6.5,-111
87,Isaac Okoro,Reb + Ast,4.5,106,4.5,-136
88,Collin Sexton,Pts + Ast,27.5,-120,27.5,-106
89,Darius Garland,Pts + Ast,22.5,-118,22.5,-108
90,Jarrett Allen,Pts + Ast,14.5,-125,14.5,-102
91,Kevin Love,Pts + Ast,14.5,-128,14.5,100
92,Nikola Vucevic,Pts + Ast,29.5,-104,29.5,-122
93,Isaac Okoro,Pts + Ast,9.5,-128,9.5,100
94,Collin Sexton,Pts + Reb,27.5,-108,27.5,-118
95,Darius Garland,Pts + Reb,19.5,-106,19.5,-120
96,Jarrett Allen,Pts + Reb,23.5,-120,23.5,-106
97,Kevin Love,Pts + Reb,19.5,-111,19.5,-115
98,Nikola Vucevic,Pts + Reb,35.5,-118,35.5,-108
99,Patrick Williams,Pts + Reb,13.5,-120,13.5,-106
100,Collin Sexton,Pts + Reb + Ast,30.5,-122,30.5,-104
101,Darius Garland,Pts + Reb + Ast,25.5,-106,25.5,-120
102,Jarrett Allen,Pts + Reb + Ast,25.5,-113,25.5,-113
103,Kevin Love,Pts + Reb + Ast,21.5,-120,21.5,-106
104,Nikola Vucevic,Pts + Reb + Ast,40.5,-108,40.5,-118
105,Isaac Okoro,Pts + Reb + Ast,12.5,-125,12.5,-102
106,Patrick Williams,Pts + Ast,11.5,-102,11.5,-125
107,Isaac Okoro,Pts + Reb,11.5,-106,11.5,-120
108,Patrick Williams,Pts + Reb + Ast,15.5,-120,15.5,-106
109,Patrick Williams,Reb + Ast,6.5,100,6.5,-128
110,Rui Hachimura,Points,14.5,100,14.5,-122
111,Deni Avdija,Points,7.5,-104,7.5,-116
112,Bradley Beal,Points,28.5,-106,28.5,-116
113,Russell Westbrook,Points,25.5,-104,25.5,-118
114,Alex Len,Points,6.5,-118,6.5,-104
115,Jerami Grant,Points,21.5,-118,21.5,-104
116,Mason Plumlee,Points,9.5,-104,9.5,-118
117,Josh Jackson,Points,15.5,100,15.5,-122
118,Saddiq Bey,Points,14.5,100,14.5,-122
119,Cory Joseph,Points,10.5,-104,10.5,-118
120,Rui Hachimura,Rebounds,5.5,100,5.5,-122
121,Deni Avdija,Rebounds,4.5,-115,4.5,-105
122,Alex Len,Rebounds,4.5,110,4.5,-134
123,Bradley Beal,Rebounds,4.5,110,4.5,-134
124,Russell Westbrook,Rebounds,12.5,-108,12.5,-112
125,Jerami Grant,Rebounds,4.5,106,4.5,-130
126,Saddiq Bey,Rebounds,4.5,-104,4.5,-118
127,Cory Joseph,Rebounds,3.5,-142,3.5,116
128,Josh Jackson,Rebounds,4.5,-128,4.5,104
129,Mason Plumlee,Rebounds,8.5,-110,8.5,-110
130,Bradley Beal,Assists,4.5,-102,4.5,-120
131,Russell Westbrook,Assists,11.5,-130,11.5,106
132,Jerami Grant,Assists,3.5,122,3.5,-150
133,Mason Plumlee,Assists,2.5,-168,2.5,136
134,Cory Joseph,Assists,4.5,-144,4.5,118
135,Bradley Beal,Made Threes,1.5,-210,1.5,162
136,Russell Westbrook,Made Threes,1.5,132,1.5,-170
137,Jerami Grant,Made Threes,1.5,-170,1.5,132
138,Saddiq Bey,Made Threes,2.5,-113,2.5,-113
139,Cory Joseph,Made Threes,0.5,-166,0.5,130
140,Josh Jackson,Made Threes,1.5,110,1.5,-140
141,Rui Hachimura,Reb + Ast,6.5,-125,6.5,-102
142,Deni Avdija,Reb + Ast,5.5,-132,5.5,104
143,Bradley Beal,Reb + Ast,8.5,-128,8.5,100
144,Russell Westbrook,Reb + Ast,24.5,-111,24.5,-115
145,Jerami Grant,Reb + Ast,7.5,-120,7.5,-106
146,Mason Plumlee,Reb + Ast,11.5,-122,11.5,-104
147,Rui Hachimura,Pts + Ast,15.5,-113,15.5,-113
148,Deni Avdija,Pts + Ast,8.5,-118,8.5,-108
149,Bradley Beal,Pts + Ast,32.5,-120,32.5,-106
150,Russell Westbrook,Pts + Ast,37.5,-104,37.5,-122
151,Jerami Grant,Pts + Ast,25.5,-108,25.5,-118
152,Mason Plumlee,Pts + Ast,12.5,-113,12.5,-113
