,Player,Prop,Over,Over Odds,Under,Under Odds
0,Luka Doncic,Points,30.5,-106,30.5,-116
1,Joel Embiid,Points,30.5,-118,30.5,-102
2,Tobias Harris,Points,20.5,-120,20.5,-102
3,Ben Simmons,Points,16.5,-112,16.5,-108
4,Seth Curry,Points,12.5,102,12.5,-126
5,Danny Green,Points,9.5,104,9.5,-126
6,Tobias Harris,Assists,4.5,130,4.5,-162
7,Ben Simmons,Assists,7.5,110,7.5,-134
8,Seth Curry,Assists,2.5,128,2.5,-158
9,Luka Doncic,Assists,8.5,-102,8.5,-120
10,Joel Embiid,Assists,2.5,-154,2.5,126
11,Seth Curry,Reb + Ast,4.5,-104,4.5,-122
12,Luka Doncic,Rebounds,8.5,-130,8.5,106
13,Joel Embiid,Rebounds,11.5,-134,11.5,110
14,Ben Simmons,Rebounds,8.5,-104,8.5,-118
15,Ben Simmons,Reb + Ast,15.5,-122,15.5,-104
16,Luka Doncic,Reb + Ast,17.5,-111,17.5,-115
17,Seth Curry,Rebounds,2.5,140,2.5,-172
18,Tobias Harris,Rebounds,7.5,-138,7.5,112
19,Joel Embiid,Reb + Ast,14.5,-130,14.5,102
20,Tobias Harris,Reb + Ast,12.5,102,12.5,-130
21,Danny Green,Rebounds,3.5,104,3.5,-128
22,Danny Green,Reb + Ast,4.5,-128,4.5,100
23,Seth Curry,Made Threes,1.5,-160,1.5,124
24,Joel Embiid,Made Threes,1.5,196,1.5,-260
25,Danny Green,Made Threes,1.5,-192,1.5,148
26,Tobias Harris,Made Threes,1.5,104,1.5,-132
27,Luka Doncic,Made Threes,2.5,-125,2.5,-102
28,Luka Doncic,Pts + Ast,38.5,-120,38.5,-106
29,Joel Embiid,Pts + Ast,33.5,-122,33.5,-104
30,Tobias Harris,Pts + Ast,25.5,-104,25.5,-122
31,Ben Simmons,Pts + Ast,23.5,-122,23.5,-104
32,Seth Curry,Pts + Ast,14.5,-111,14.5,-115
33,Danny Green,Pts + Ast,10.5,-113,10.5,-113
34,Luka Doncic,Pts + Reb,39.5,-113,39.5,-113
35,Joel Embiid,Pts + Reb,42.5,-120,42.5,-106
36,Tobias Harris,Pts + Reb,29.5,-106,29.5,-120
37,Ben Simmons,Pts + Reb,25.5,-111,25.5,-115
38,Seth Curry,Pts + Reb,14.5,-108,14.5,-118
39,Danny Green,Pts + Reb,12.5,-115,12.5,-111
40,Luka Doncic,Pts + Reb + Ast,48.5,-106,48.5,-120
41,Joel Embiid,Pts + Reb + Ast,45.5,-120,45.5,-106
42,Tobias Harris,Pts + Reb + Ast,33.5,-111,33.5,-115
43,Ben Simmons,Pts + Reb + Ast,32.5,-115,32.5,-111
44,Seth Curry,Pts + Reb + Ast,16.5,-118,16.5,-108
