,Player,Prop,Over,Over Odds,Under,Under Odds
0,Terrence Ross,Points,18.5,-112,18.5,-108
1,Wendell Carter,Points,13.5,-110,13.5,-110
2,Chuma Okeke,Points,11.5,100,11.5,-122
3,James Ennis III,Points,9.5,-108,9.5,-114
4,Caris LeVert,Points,18.5,-108,18.5,-114
5,Justin Holiday,Points,10.5,-108,10.5,-114
6,Wendell Carter,Rebounds,9.5,-132,9.5,108
7,Terrence Ross,Rebounds,3.5,-105,3.5,-115
8,Justin Holiday,Rebounds,3.5,112,3.5,-138
9,Chuma Okeke,Rebounds,5.5,100,5.5,-122
10,Caris LeVert,Rebounds,5.5,116,5.5,-142
11,James Ennis III,Rebounds,4.5,-112,4.5,-108
12,Terrence Ross,Assists,2.5,-128,2.5,104
13,Wendell Carter,Assists,2.5,126,2.5,-154
14,Chuma Okeke,Assists,2.5,-128,2.5,104
15,Caris LeVert,Assists,4.5,-152,4.5,124
16,Terrence Ross,Made Threes,2.5,118,2.5,-150
17,Chuma Okeke,Made Threes,1.5,-102,1.5,-125
18,Justin Holiday,Made Threes,2.5,-111,2.5,-115
19,James Ennis III,Made Threes,1.5,186,1.5,-245
20,Caris LeVert,Made Threes,2.5,158,2.5,-205
21,Terrence Ross,Reb + Ast,6.5,-102,6.5,-125
22,Wendell Carter,Reb + Ast,12.5,-104,12.5,-122
23,Chuma Okeke,Reb + Ast,8.5,100,8.5,-128
24,Caris LeVert,Reb + Ast,10.5,100,10.5,-128
25,Justin Holiday,Reb + Ast,4.5,-128,4.5,100
26,James Ennis III,Reb + Ast,6.5,116,6.5,-148
27,Terrence Ross,Pts + Ast,21.5,-113,21.5,-113
28,Wendell Carter,Pts + Ast,15.5,-128,15.5,100
29,Chuma Okeke,Pts + Ast,14.5,100,14.5,-128
30,James Ennis III,Pts + Ast,11.5,116,11.5,-148
31,Caris LeVert,Pts + Ast,23.5,-113,23.5,-113
32,Justin Holiday,Pts + Ast,11.5,-128,11.5,100
33,Terrence Ross,Pts + Reb,22.5,-108,22.5,-118
34,Wendell Carter,Pts + Reb,23.5,-118,23.5,-108
35,Chuma Okeke,Pts + Reb,16.5,-125,16.5,-102
36,James Ennis III,Pts + Reb,14.5,112,14.5,-142
37,Caris LeVert,Pts + Reb,23.5,-118,23.5,-108
38,Justin Holiday,Pts + Reb,13.5,-128,13.5,100
39,Terrence Ross,Pts + Reb + Ast,25.5,-106,25.5,-120
40,Wendell Carter,Pts + Reb + Ast,26.5,-104,26.5,-122
41,Chuma Okeke,Pts + Reb + Ast,19.5,-118,19.5,-108
42,James Ennis III,Pts + Reb + Ast,16.5,124,16.5,-158
43,Caris LeVert,Pts + Reb + Ast,28.5,-122,28.5,-104
