,Player,Prop,Over,Over Odds,Under,Under Odds
0,Kevin Durant,Points,32.5,-104,32.5,-116
1,Kyrie Irving,Points,28.5,-104,28.5,-116
2,Joe Harris,Points,12.5,-122,12.5,100
3,Blake Griffin,Points,9.5,102,9.5,-124
4,Giannis Antetokounmpo,Points,33.5,-106,33.5,-116
5,Khris Middleton,Points,23.5,-122,23.5,100
6,Jrue Holiday,Points,18.5,-112,18.5,-108
7,Brook Lopez,Points,13.5,100,13.5,-122
8,P.J Tucker,Points,3.5,-110,3.5,-110
9,Bryn Forbes,Points,8.5,-102,8.5,-120
10,Bruce Brown,Points,11.5,102,11.5,-124
11,Bobby Portis,Points,6.5,-138,6.5,114
12,Blake Griffin,Rebounds,6.5,-106,6.5,-114
13,P.J Tucker,Rebounds,3.5,-128,3.5,104
14,Brook Lopez,Rebounds,6.5,114,6.5,-140
15,Joe Harris,Rebounds,3.5,-112,3.5,-108
16,Khris Middleton,Rebounds,7.5,-108,7.5,-112
17,Giannis Antetokounmpo,Rebounds,13.5,-108,13.5,-112
18,Jrue Holiday,Rebounds,5.5,118,5.5,-144
19,Kevin Durant,Rebounds,8.5,-130,8.5,106
20,Kyrie Irving,Rebounds,4.5,-142,4.5,116
21,Bryn Forbes,Rebounds,1.5,-122,1.5,100
22,Bruce Brown,Rebounds,6.5,-134,6.5,110
23,Jrue Holiday,Assists,7.5,118,7.5,-144
24,Khris Middleton,Assists,4.5,-108,4.5,-112
25,Giannis Antetokounmpo,Assists,5.5,108,5.5,-132
26,Kyrie Irving,Assists,5.5,-142,5.5,116
27,Kevin Durant,Assists,5.5,-140,5.5,114
28,Joe Harris,Assists,1.5,-140,1.5,114
29,Blake Griffin,Assists,2.5,104,2.5,-128
30,P.J Tucker,Assists,0.5,-210,0.5,164
31,Bruce Brown,Assists,2.5,116,2.5,-144
32,Khris Middleton,Made Threes,2.5,-136,2.5,106
33,Kevin Durant,Made Threes,3.5,112,3.5,-142
34,P.J Tucker,Made Threes,0.5,-120,0.5,-106
35,Giannis Antetokounmpo,Made Threes,1.5,140,1.5,-180
36,Brook Lopez,Made Threes,0.5,-162,0.5,126
37,Blake Griffin,Made Threes,1.5,118,1.5,-150
38,Jrue Holiday,Made Threes,1.5,-180,1.5,140
