,Player,Prop,Over,Over Odds,Under,Under Odds
0,Norman Powell,Points,23.5,100,23.5,-122
1,Kyle Lowry,Points,21.5,-102,21.5,-118
2,Chris Boucher,Points,16.5,-118,16.5,-104
3,Deandre Bembry,Points,7.5,-126,7.5,102
4,Saddiq Bey,Points,15.5,-110,15.5,-110
5,Dennis Smith,Points,12.5,-108,12.5,-112
6,Mason Plumlee,Points,13.5,-102,13.5,-120
7,Kyle Lowry,Assists,8.5,104,8.5,-128
8,Norman Powell,Assists,2.5,-122,2.5,100
9,Deandre Bembry,Assists,3.5,118,3.5,-144
10,Mason Plumlee,Assists,4.5,112,4.5,-138
11,Dennis Smith,Assists,5.5,112,5.5,-138
12,Kyle Lowry,Rebounds,5.5,-138,5.5,112
13,Norman Powell,Reb + Ast,6.5,-130,6.5,102
14,Kyle Lowry,Reb + Ast,14.5,-106,14.5,-120
15,Norman Powell,Rebounds,4.5,126,4.5,-154
16,Chris Boucher,Rebounds,8.5,110,8.5,-134
17,Deandre Bembry,Rebounds,3.5,-130,3.5,106
18,Deandre Bembry,Reb + Ast,7.5,106,7.5,-136
19,Dennis Smith,Rebounds,3.5,128,3.5,-158
20,Saddiq Bey,Rebounds,5.5,-142,5.5,116
21,Mason Plumlee,Rebounds,10.5,108,10.5,-132
22,Saddiq Bey,Reb + Ast,7.5,-132,7.5,104
23,Mason Plumlee,Reb + Ast,14.5,-120,14.5,-106
24,Dennis Smith,Reb + Ast,8.5,-106,8.5,-120
25,Norman Powell,Made Threes,2.5,-180,2.5,140
26,Kyle Lowry,Made Threes,3.5,120,3.5,-154
27,Chris Boucher,Made Threes,1.5,-162,1.5,126
28,Saddiq Bey,Made Threes,3.5,118,3.5,-150
29,Norman Powell,Pts + Ast,25.5,-120,25.5,-106
30,Kyle Lowry,Pts + Ast,29.5,-115,29.5,-111
31,Deandre Bembry,Pts + Ast,11.5,-104,11.5,-122
32,Saddiq Bey,Pts + Ast,17.5,-111,17.5,-115
33,Dennis Smith,Pts + Ast,17.5,-120,17.5,-106
34,Mason Plumlee,Pts + Ast,17.5,-115,17.5,-111
35,Norman Powell,Pts + Reb,27.5,-108,27.5,-118
36,Kyle Lowry,Pts + Reb,27.5,-111,27.5,-115
37,Chris Boucher,Pts + Reb,25.5,-108,25.5,-118
38,Deandre Bembry,Pts + Reb,11.5,-125,11.5,-102
39,Saddiq Bey,Pts + Reb,21.5,-115,21.5,-111
40,Dennis Smith,Pts + Reb,15.5,-120,15.5,-106
41,Norman Powell,Pts + Reb + Ast,30.5,-106,30.5,-120
42,Kyle Lowry,Pts + Reb + Ast,35.5,-115,35.5,-111
43,Deandre Bembry,Pts + Reb + Ast,15.5,-104,15.5,-122
44,Saddiq Bey,Pts + Reb + Ast,23.5,-115,23.5,-111
