,Player,Prop,Over,Over Odds,Under,Under Odds
0,Kyrie Irving,Points,27.5,-116,27.5,-106
1,Kevin Durant,Points,21.5,-110,21.5,-110
2,Joe Harris,Points,13.5,-116,13.5,-106
3,LaMarcus Aldridge,Points,12.5,104,12.5,-126
4,Zion Williamson,Points,29.5,-102,29.5,-118
5,Steven Adams,Points,7.5,106,7.5,-128
6,Eric Bledsoe,Points,13.5,-104,13.5,-118
7,Lonzo Ball,Points,17.5,100,17.5,-122
8,Kevin Durant,Rebounds,5.5,-115,5.5,-105
9,Kyrie Irving,Rebounds,4.5,-144,4.5,118
10,Joe Harris,Rebounds,3.5,-142,3.5,116
11,LaMarcus Aldridge,Rebounds,5.5,108,5.5,-132
12,Zion Williamson,Rebounds,7.5,106,7.5,-130
13,Steven Adams,Rebounds,9.5,104,9.5,-128
14,Lonzo Ball,Rebounds,4.5,-114,4.5,-106
15,Eric Bledsoe,Rebounds,3.5,-140,3.5,114
16,Kyrie Irving,Assists,7.5,118,7.5,-144
17,Kevin Durant,Assists,4.5,-114,4.5,-106
18,Lonzo Ball,Assists,6.5,-120,6.5,-102
19,Zion Williamson,Assists,3.5,-142,3.5,116
20,Eric Bledsoe,Assists,4.5,104,4.5,-128
21,Kevin Durant,Made Threes,1.5,-172,1.5,134
22,Joe Harris,Made Threes,2.5,-178,2.5,138
23,Kyrie Irving,Made Threes,2.5,-174,2.5,136
24,LaMarcus Aldridge,Made Threes,1.5,140,1.5,-180
25,Eric Bledsoe,Made Threes,2.5,142,2.5,-184
26,Lonzo Ball,Made Threes,3.5,-130,3.5,102
27,Kyrie Irving,Reb + Ast,12.5,100,12.5,-128
28,Kevin Durant,Reb + Ast,10.5,-106,10.5,-120
29,Joe Harris,Reb + Ast,6.5,-146,6.5,114
30,LaMarcus Aldridge,Reb + Ast,7.5,100,7.5,-128
31,Zion Williamson,Reb + Ast,11.5,100,11.5,-128
32,Steven Adams,Reb + Ast,10.5,-118,10.5,-108
33,Kyrie Irving,Pts + Ast,34.5,-122,34.5,-104
34,Kevin Durant,Pts + Ast,26.5,-111,26.5,-115
35,Joe Harris,Pts + Ast,15.5,-120,15.5,-106
36,LaMarcus Aldridge,Pts + Ast,14.5,-102,14.5,-125
37,Zion Williamson,Pts + Ast,33.5,-104,33.5,-122
38,Steven Adams,Pts + Ast,8.5,-120,8.5,-106
39,Kyrie Irving,Pts + Reb,33.5,-104,33.5,-122
40,Kevin Durant,Pts + Reb,27.5,-113,27.5,-113
41,Joe Harris,Pts + Reb,17.5,-120,17.5,-106
42,LaMarcus Aldridge,Pts + Reb,17.5,-113,17.5,-113
43,Zion Williamson,Pts + Reb,36.5,-113,36.5,-113
44,Steven Adams,Pts + Reb,16.5,-115,16.5,-111
45,Kyrie Irving,Pts + Reb + Ast,40.5,-111,40.5,-115
46,Kevin Durant,Pts + Reb + Ast,32.5,-111,32.5,-115
47,Joe Harris,Pts + Reb + Ast,20.5,-104,20.5,-122
48,LaMarcus Aldridge,Pts + Reb + Ast,19.5,-102,19.5,-125
49,Zion Williamson,Pts + Reb + Ast,40.5,-113,40.5,-113
50,Steven Adams,Pts + Reb + Ast,18.5,-102,18.5,-125
51,Eric Bledsoe,Pts + Ast,17.5,-122,17.5,-104
52,Lonzo Ball,Pts + Ast,23.5,-122,23.5,-104
53,Eric Bledsoe,Pts + Reb,17.5,-111,17.5,-115
54,Lonzo Ball,Pts + Reb,21.5,-122,21.5,-104
55,Eric Bledsoe,Pts + Reb + Ast,21.5,-122,21.5,-104
56,Lonzo Ball,Pts + Reb + Ast,28.5,-115,28.5,-111
57,Eric Bledsoe,Reb + Ast,8.5,-104,8.5,-122
58,Lonzo Ball,Reb + Ast,11.5,-111,11.5,-115
59,Julius Randle,Points,22.5,-118,22.5,-104
60,RJ Barrett,Points,16.5,-116,16.5,-106
61,Derrick Rose,Points,11.5,-106,11.5,-116
62,Reggie Bullock,Points,9.5,-122,9.5,100
63,Elfrid Payton,Points,9.5,-108,9.5,-112
64,Jayson Tatum,Points,24.5,-120,24.5,-102
65,Jaylen Brown,Points,23.5,-102,23.5,-118
66,Marcus Smart,Points,13.5,-110,13.5,-110
67,Robert Williams,Points,10.5,104,10.5,-126
68,Reggie Bullock,Rebounds,3.5,122,3.5,-150
69,Marcus Smart,Rebounds,3.5,110,3.5,-134
70,Jayson Tatum,Rebounds,6.5,102,6.5,-124
71,RJ Barrett,Rebounds,5.5,-104,5.5,-118
72,Robert Williams,Rebounds,8.5,-120,8.5,-102
73,Elfrid Payton,Rebounds,3.5,122,3.5,-150
74,Jaylen Brown,Rebounds,5.5,114,5.5,-140
75,Julius Randle,Rebounds,9.5,-128,9.5,104
76,RJ Barrett,Assists,2.5,-104,2.5,-118
77,Julius Randle,Assists,5.5,-115,5.5,-104
78,Marcus Smart,Assists,5.5,-102,5.5,-120
79,Jaylen Brown,Assists,3.5,122,3.5,-150
80,Robert Williams,Assists,2.5,102,2.5,-124
81,Jayson Tatum,Assists,3.5,-162,3.5,132
82,Elfrid Payton,Assists,2.5,-110,2.5,-110
83,Marcus Smart,Made Threes,2.5,126,2.5,-162
84,Jayson Tatum,Made Threes,3.5,132,3.5,-170
85,Jaylen Brown,Made Threes,3.5,134,3.5,-172
86,Reggie Bullock,Made Threes,2.5,126,2.5,-162
87,Julius Randle,Made Threes,2.5,144,2.5,-186
88,RJ Barrett,Made Threes,1.5,130,1.5,-166
89,RJ Barrett,Reb + Ast,7.5,-142,7.5,112
90,Julius Randle,Reb + Ast,15.5,-113,15.5,-113
91,Reggie Bullock,Reb + Ast,4.5,-104,4.5,-122
92,Jayson Tatum,Reb + Ast,10.5,-108,10.5,-118
93,Jaylen Brown,Reb + Ast,8.5,-113,8.5,-113
94,Elfrid Payton,Reb + Ast,5.5,-130,5.5,102
95,Julius Randle,Pts + Ast,28.5,-115,28.5,-111
96,RJ Barrett,Pts + Ast,19.5,-108,19.5,-118
97,Reggie Bullock,Pts + Ast,11.5,102,11.5,-130
98,Elfrid Payton,Pts + Ast,12.5,-104,12.5,-122
99,Jayson Tatum,Pts + Ast,29.5,-106,29.5,-120
100,Jaylen Brown,Pts + Ast,26.5,-113,26.5,-113
101,Julius Randle,Pts + Reb,32.5,-120,32.5,-106
102,RJ Barrett,Pts + Reb,22.5,-108,22.5,-118
103,Reggie Bullock,Pts + Reb,13.5,100,13.5,-128
104,Elfrid Payton,Pts + Reb,12.5,-120,12.5,-106
105,Jayson Tatum,Pts + Reb,31.5,-113,31.5,-113
106,Jaylen Brown,Pts + Reb,28.5,-113,28.5,-113
107,Julius Randle,Pts + Reb + Ast,38.5,-115,38.5,-111
108,RJ Barrett,Pts + Reb + Ast,24.5,-120,24.5,-106
109,Reggie Bullock,Pts + Reb + Ast,14.5,-106,14.5,-120
110,Elfrid Payton,Pts + Reb + Ast,15.5,-113,15.5,-113
111,Jayson Tatum,Pts + Reb + Ast,35.5,-115,35.5,-111
112,Jaylen Brown,Pts + Reb + Ast,31.5,-120,31.5,-106
113,Marcus Smart,Pts + Ast,19.5,100,19.5,-128
114,Robert Williams,Pts + Ast,12.5,-115,12.5,-111
115,Marcus Smart,Pts + Reb,16.5,-122,16.5,-104
116,Robert Williams,Pts + Reb,19.5,-102,19.5,-125
117,Marcus Smart,Pts + Reb + Ast,22.5,-113,22.5,-113
118,Robert Williams,Pts + Reb + Ast,21.5,-118,21.5,-108
119,Marcus Smart,Reb + Ast,8.5,-130,8.5,102
120,Robert Williams,Reb + Ast,11.5,-104,11.5,-122
121,Terry Rozier,Points,24.5,-116,24.5,-106
122,Devonte' Graham,Points,16.5,-110,16.5,-110
123,Miles Bridges,Points,13.5,-122,13.5,100
124,Theo Maledon,Points,13.5,-106,13.5,-116
125,Svi Mykhailiuk,Points,12.5,-118,12.5,-104
126,Aleksej Pokusevski,Points,13.5,100,13.5,-122
127,P.J Washington,Points,12.5,-110,12.5,-110
128,Moses Brown,Points,11.5,-110,11.5,-110
