,Player,Prop,Over,Over Odds,Under,Under Odds
0,Jayson Tatum,Points,29.5,-106,29.5,-116
1,Tristan Thompson,Points,10.5,-114,10.5,-108
2,Marcus Smart,Points,15.5,-108,15.5,-114
3,Joe Harris,Points,14.5,-104,14.5,-118
4,Kyrie Irving,Points,29.5,-108,29.5,-112
5,Landry Shamet,Points,13.5,-126,13.5,104
6,Blake Griffin,Points,11.5,-116,11.5,-106
7,Jeff Green,Points,12.5,-118,12.5,-104
8,Jayson Tatum,Rebounds,7.5,-142,7.5,116
9,Tristan Thompson,Rebounds,9.5,-124,9.5,102
10,Marcus Smart,Rebounds,3.5,-144,3.5,118
11,Joe Harris,Rebounds,3.5,-150,3.5,122
12,Kyrie Irving,Rebounds,5.5,-102,5.5,-120
13,Blake Griffin,Rebounds,5.5,-115,5.5,-105
14,Jeff Green,Rebounds,4.5,-115,4.5,-105
15,Jayson Tatum,Assists,4.5,-118,4.5,-104
16,Marcus Smart,Assists,5.5,-140,5.5,114
17,Kyrie Irving,Assists,7.5,-106,7.5,-114
18,Blake Griffin,Assists,3.5,-106,3.5,-114
19,Jeff Green,Assists,2.5,114,2.5,-140
20,Jayson Tatum,Made Threes,3.5,-113,3.5,-113
21,Marcus Smart,Made Threes,2.5,-120,2.5,-106
22,Joe Harris,Made Threes,2.5,-154,2.5,120
23,Kyrie Irving,Made Threes,2.5,102,2.5,-130
24,Landry Shamet,Made Threes,2.5,-128,2.5,100
25,Jayson Tatum,Reb + Ast,12.5,-125,12.5,-102
26,Marcus Smart,Reb + Ast,9.5,-138,9.5,108
27,Tristan Thompson,Reb + Ast,11.5,-122,11.5,-104
28,Kyrie Irving,Reb + Ast,13.5,106,13.5,-136
29,Joe Harris,Reb + Ast,6.5,102,6.5,-130
30,Jayson Tatum,Pts + Ast,34.5,-104,34.5,-122
31,Tristan Thompson,Pts + Ast,12.5,-118,12.5,-108
32,Marcus Smart,Pts + Ast,21.5,-113,21.5,-113
33,Joe Harris,Pts + Ast,16.5,-115,16.5,-111
34,Kyrie Irving,Pts + Ast,37.5,-104,37.5,-122
35,Jayson Tatum,Pts + Reb,37.5,-113,37.5,-113
36,Tristan Thompson,Pts + Reb,20.5,-113,20.5,-113
37,Marcus Smart,Pts + Reb,19.5,-115,19.5,-111
38,Joe Harris,Pts + Reb,18.5,-115,18.5,-111
39,Kyrie Irving,Pts + Reb,35.5,-104,35.5,-122
40,Jayson Tatum,Pts + Reb + Ast,42.5,-111,42.5,-115
41,Tristan Thompson,Pts + Reb + Ast,22.5,-115,22.5,-111
42,Marcus Smart,Pts + Reb + Ast,25.5,-118,25.5,-108
43,Joe Harris,Pts + Reb + Ast,20.5,-125,20.5,-102
44,Kyrie Irving,Pts + Reb + Ast,42.5,-120,42.5,-108
45,Landry Shamet,Pts + Ast,16.5,-120,16.5,-106
46,Blake Griffin,Pts + Ast,15.5,-108,15.5,-118
47,Jeff Green,Pts + Ast,15.5,-104,15.5,-120
48,Blake Griffin,Pts + Reb,17.5,-118,17.5,-108
49,Jeff Green,Pts + Reb,17.5,-115,17.5,-111
50,Blake Griffin,Pts + Reb + Ast,21.5,-106,21.5,-120
51,Jeff Green,Pts + Reb + Ast,20.5,-104,20.5,-122
52,Blake Griffin,Reb + Ast,9.5,102,9.5,-130
53,Jeff Green,Reb + Ast,7.5,112,7.5,-142
54,Jimmy Butler,Points,20.5,-110,20.5,-110
55,Kendrick Nunn,Points,13.5,-110,13.5,-110
56,Duncan Robinson,Points,11.5,-122,11.5,100
57,Trevor Ariza,Points,9.5,-104,9.5,-118
58,Bam Adebayo,Points,18.5,-102,18.5,-118
59,John Collins,Points,16.5,-112,16.5,-108
60,Kevin Huerter,Points,13.5,-106,13.5,-116
61,Bogdan Bogdanovic,Points,18.5,-108,18.5,-112
62,Jimmy Butler,Rebounds,6.5,-122,6.5,100
63,Duncan Robinson,Rebounds,2.5,-142,2.5,116
64,Kendrick Nunn,Rebounds,2.5,-150,2.5,122
65,Trevor Ariza,Rebounds,4.5,110,4.5,-134
66,Bam Adebayo,Rebounds,8.5,-122,8.5,100
67,John Collins,Rebounds,8.5,-108,8.5,-112
68,Kevin Huerter,Rebounds,3.5,-134,3.5,110
69,Bogdan Bogdanovic,Rebounds,4.5,-118,4.5,-104
70,Kendrick Nunn,Assists,2.5,-114,2.5,-106
71,Jimmy Butler,Assists,7.5,102,7.5,-124
72,Bam Adebayo,Assists,4.5,-140,4.5,114
73,Kevin Huerter,Assists,4.5,-106,4.5,-114
74,Bogdan Bogdanovic,Assists,4.5,-130,4.5,106
75,Kendrick Nunn,Made Threes,2.5,104,2.5,-132
76,Trevor Ariza,Made Threes,1.5,-130,1.5,102
77,Kevin Huerter,Made Threes,2.5,112,2.5,-142
78,John Collins,Made Threes,1.5,180,1.5,-235
79,Bogdan Bogdanovic,Made Threes,3.5,112,3.5,-142
80,Duncan Robinson,Reb + Ast,4.5,-125,4.5,-102
81,Jimmy Butler,Reb + Ast,14.5,-104,14.5,-122
82,Kendrick Nunn,Reb + Ast,5.5,-120,5.5,-106
83,Trevor Ariza,Reb + Ast,6.5,114,6.5,-146
84,Bam Adebayo,Reb + Ast,13.5,-125,13.5,-102
