,Player,Prop,Over,Over Odds,Under,Under Odds
0,Trae Young,Points,27.5,-120,27.5,-102
1,Bogdan Bogdanovic,Points,17.5,102,17.5,-124
2,Clint Capela,Points,12.5,-102,12.5,-120
3,Joel Embiid,Points,30.5,-104,30.5,-116
4,Tobias Harris,Points,21.5,-110,21.5,-110
5,Ben Simmons,Points,14.5,-126,14.5,102
6,Seth Curry,Points,13.5,-124,13.5,102
7,John Collins,Points,14.5,-112,14.5,-108
8,Danny Green,Points,8.5,-116,8.5,-106
9,Danilo Gallinari,Points,9.5,-128,9.5,106
10,Kevin Huerter,Points,10.5,106,10.5,-128
11,Tyrese Maxey,Points,6.5,-122,6.5,100
12,Ben Simmons,Rebounds,7.5,-120,7.5,-102
13,Tobias Harris,Rebounds,7.5,-130,7.5,106
14,Clint Capela,Rebounds,12.5,-122,12.5,100
15,John Collins,Rebounds,6.5,-128,6.5,104
16,Bogdan Bogdanovic,Rebounds,4.5,100,4.5,-122
17,Joel Embiid,Rebounds,9.5,-132,9.5,108
18,Trae Young,Rebounds,3.5,110,3.5,-134
19,Seth Curry,Rebounds,2.5,-132,2.5,108
20,Danny Green,Rebounds,3.5,-108,3.5,-112
21,Joel Embiid,Assists,2.5,-114,2.5,-106
22,Bogdan Bogdanovic,Assists,3.5,-118,3.5,-104
23,Trae Young,Assists,9.5,-114,9.5,-106
24,Ben Simmons,Assists,8.5,104,8.5,-128
25,Tobias Harris,Assists,3.5,114,3.5,-140
26,Seth Curry,Assists,2.5,-114,2.5,-106
27,Danny Green,Assists,1.5,-140,1.5,114
28,John Collins,Assists,0.5,-180,0.5,146
29,Bogdan Bogdanovic,Made Threes,3.5,112,3.5,-142
30,Trae Young,Made Threes,2.5,-146,2.5,114
31,Joel Embiid,Made Threes,1.5,136,1.5,-174
32,Tobias Harris,Made Threes,1.5,122,1.5,-156
33,Seth Curry,Made Threes,2.5,-113,2.5,-113
34,John Collins,Made Threes,1.5,124,1.5,-160
35,Kevin Huerter,Made Threes,1.5,-104,1.5,-120
36,Tobias Harris,Reb + Ast,11.5,-104,11.5,-122
37,Joel Embiid,Reb + Ast,12.5,-115,12.5,-111
38,Ben Simmons,Reb + Ast,16.5,112,16.5,-142
39,Bogdan Bogdanovic,Reb + Ast,8.5,106,8.5,-136
40,Trae Young,Reb + Ast,12.5,-136,12.5,106
41,Danny Green,Reb + Ast,5.5,-104,5.5,-122
42,Trae Young,Pts + Ast,37.5,-113,37.5,-113
43,Bogdan Bogdanovic,Pts + Ast,20.5,-122,20.5,-104
44,Joel Embiid,Pts + Ast,32.5,-125,32.5,-102
45,Tobias Harris,Pts + Ast,25.5,-104,25.5,-122
46,Ben Simmons,Pts + Ast,23.5,-113,23.5,-113
47,Seth Curry,Pts + Ast,16.5,-120,16.5,-106
48,Bogdan Bogdanovic,Pts + Reb,21.5,-115,21.5,-111
49,Clint Capela,Pts + Reb,25.5,-104,25.5,-122
50,Joel Embiid,Pts + Reb,40.5,-111,40.5,-115
51,Tobias Harris,Pts + Reb,29.5,-115,29.5,-108
52,Ben Simmons,Pts + Reb,23.5,-102,23.5,-125
53,John Collins,Pts + Reb,21.5,-120,21.5,-106
54,Bogdan Bogdanovic,Pts + Reb + Ast,25.5,-108,25.5,-118
55,Joel Embiid,Pts + Reb + Ast,43.5,-104,43.5,-122
56,Tobias Harris,Pts + Reb + Ast,33.5,-104,33.5,-122
57,Ben Simmons,Pts + Reb + Ast,31.5,-113,31.5,-113
58,Trae Young,Pts + Reb + Ast,41.5,-102,41.5,-125
59,Danny Green,Pts + Reb + Ast,14.5,-111,14.5,-115
60,Danny Green,Pts + Ast,10.5,-115,10.5,-111
61,John Collins,Pts + Ast,15.5,-113,15.5,-113
62,Clint Capela,Pts + Ast,12.5,-132,12.5,104
63,Trae Young,Pts + Reb,31.5,-111,31.5,-115
64,Danny Green,Pts + Reb,12.5,-111,12.5,-115
65,Seth Curry,Pts + Reb,16.5,-128,16.5,100
66,Seth Curry,Pts + Reb + Ast,19.5,-118,19.5,-108
67,John Collins,Pts + Reb + Ast,22.5,-130,22.5,102
68,Clint Capela,Pts + Reb + Ast,25.5,-125,25.5,-102
69,Seth Curry,Reb + Ast,5.5,-111,5.5,-115
70,John Collins,Reb + Ast,7.5,-130,7.5,102
71,Clint Capela,Reb + Ast,13.5,-113,13.5,-113
72,Kawhi Leonard,Points,28.5,-106,28.5,-110
73,Paul George,Points,24.5,-106,24.5,-116
74,Donovan Mitchell,Points,29.5,-116,29.5,-106
75,Bojan Bogdanovic,Points,18.5,-116,18.5,-106
76,Rudy Gobert,Points,14.5,-106,14.5,-116
77,Reggie Jackson,Points,14.5,100,14.5,-122
78,Nicolas Batum,Points,8.5,-124,8.5,102
79,Marcus Morris,Points,12.5,-104,12.5,-118
80,Royce O'Neale,Points,7.5,110,7.5,-134
81,Joe Ingles,Points,11.5,-118,11.5,-104
82,Jordan Clarkson,Points,19.5,-104,19.5,-118
83,Donovan Mitchell,Rebounds,4.5,-102,4.5,-120
84,Rudy Gobert,Rebounds,13.5,-130,13.5,106
85,Kawhi Leonard,Rebounds,7.5,-128,7.5,104
86,Paul George,Rebounds,7.5,-134,7.5,110
87,Nicolas Batum,Rebounds,6.5,110,6.5,-134
88,Bojan Bogdanovic,Rebounds,3.5,-152,3.5,124
89,Reggie Jackson,Rebounds,3.5,118,3.5,-144
90,Marcus Morris,Rebounds,4.5,-110,4.5,-110
91,Royce O'Neale,Rebounds,6.5,-110,6.5,-110
92,Joe Ingles,Rebounds,3.5,126,3.5,-154
93,Donovan Mitchell,Assists,6.5,104,6.5,-128
94,Kawhi Leonard,Assists,5.5,126,5.5,-154
95,Paul George,Assists,4.5,-150,4.5,122
96,Reggie Jackson,Assists,2.5,-110,2.5,-110
97,Nicolas Batum,Assists,2.5,134,2.5,-164
98,Rudy Gobert,Assists,1.5,142,1.5,-176
99,Royce O'Neale,Assists,2.5,112,2.5,-140
100,Bojan Bogdanovic,Assists,1.5,-118,1.5,-104
101,Marcus Morris,Assists,1.5,146,1.5,-180
102,Joe Ingles,Assists,5.5,112,5.5,-138
103,Kawhi Leonard,Made Threes,1.5,-210,1.5,162
104,Paul George,Made Threes,2.5,-113,2.5,-113
105,Donovan Mitchell,Made Threes,3.5,114,3.5,-146
106,Marcus Morris,Made Threes,2.5,116,2.5,-148
107,Nicolas Batum,Made Threes,1.5,106,1.5,-136
108,Reggie Jackson,Made Threes,2.5,-122,2.5,-104
109,Bojan Bogdanovic,Made Threes,2.5,134,2.5,-172
110,Royce O'Neale,Made Threes,1.5,-122,1.5,-104
