,Player,Prop,Over,Over Odds,Under,Under Odds
0,Bradley Beal,Points,31.5,-110,31.5,-110
1,Russell Westbrook,Points,23.5,-106,23.5,-116
2,Rui Hachimura,Points,12.5,-102,12.5,-118
3,Paul George,Points,27.5,-104,27.5,-118
4,Nicolas Batum,Points,8.5,100,8.5,-122
5,Serge Ibaka,Points,13.5,-112,13.5,-108
6,Patrick Beverley,Points,8.5,-114,8.5,-108
7,Davis Bertans,Points,10.5,-106,10.5,-116
8,Russell Westbrook,Assists,10.5,112,10.5,-138
9,Bradley Beal,Assists,4.5,-134,4.5,110
10,Paul George,Assists,5.5,-122,5.5,100
11,Nicolas Batum,Assists,2.5,134,2.5,-164
12,Patrick Beverley,Assists,2.5,124,2.5,-152
13,Rui Hachimura,Rebounds,5.5,-140,5.5,114
14,Russell Westbrook,Rebounds,9.5,-124,9.5,102
15,Bradley Beal,Rebounds,5.5,-110,5.5,-110
16,Russell Westbrook,Reb + Ast,20.5,104,20.5,-132
17,Rui Hachimura,Reb + Ast,7.5,-118,7.5,-108
18,Bradley Beal,Reb + Ast,10.5,-111,10.5,-115
19,Paul George,Rebounds,6.5,-118,6.5,-104
20,Paul George,Reb + Ast,12.5,-113,12.5,-113
21,Nicolas Batum,Reb + Ast,7.5,108,7.5,-138
22,Nicolas Batum,Rebounds,4.5,-134,4.5,110
23,Serge Ibaka,Reb + Ast,8.5,-132,8.5,104
24,Serge Ibaka,Rebounds,7.5,-120,7.5,-102
25,Patrick Beverley,Rebounds,4.5,122,4.5,-150
26,Davis Bertans,Rebounds,3.5,110,3.5,-134
27,Bradley Beal,Made Threes,2.5,126,2.5,-162
28,Rui Hachimura,Made Threes,0.5,-148,0.5,116
29,Russell Westbrook,Made Threes,0.5,-230,0.5,176
30,Paul George,Made Threes,3.5,-128,3.5,100
31,Nicolas Batum,Made Threes,1.5,-142,1.5,112
32,Patrick Beverley,Made Threes,1.5,-130,1.5,102
33,Davis Bertans,Made Threes,2.5,-138,2.5,108
34,Bradley Beal,Pts + Ast,36.5,-111,36.5,-115
35,Russell Westbrook,Pts + Ast,33.5,-113,33.5,-113
36,Rui Hachimura,Pts + Ast,13.5,-125,13.5,-102
37,Paul George,Pts + Ast,32.5,-122,32.5,-104
38,Nicolas Batum,Pts + Ast,10.5,-113,10.5,-113
39,Serge Ibaka,Pts + Ast,14.5,-122,14.5,-104
40,Bradley Beal,Pts + Reb,37.5,-108,37.5,-118
41,Russell Westbrook,Pts + Reb,33.5,-106,33.5,-120
42,Rui Hachimura,Pts + Reb,18.5,-111,18.5,-115
43,Paul George,Pts + Reb,33.5,-122,33.5,-104
44,Nicolas Batum,Pts + Reb,13.5,-106,13.5,-120
45,Serge Ibaka,Pts + Reb,21.5,-113,21.5,-113
46,Bradley Beal,Pts + Reb + Ast,42.5,-106,42.5,-120
47,Russell Westbrook,Pts + Reb + Ast,43.5,-113,43.5,-113
48,Rui Hachimura,Pts + Reb + Ast,20.5,-108,20.5,-118
49,Paul George,Pts + Reb + Ast,39.5,-115,39.5,-111
50,Nicolas Batum,Pts + Reb + Ast,15.5,-115,15.5,-111
