,Player,Prop,Over,Over Odds,Under,Under Odds
0,Joel Embiid,Points,30.5,-112,30.5,-108
1,Ben Simmons,Points,14.5,-108,14.5,-112
2,Seth Curry,Points,10.5,-104,10.5,-118
3,Danny Green,Points,8.5,-110,8.5,-110
4,Paul George,Points,25.5,-110,25.5,-110
5,Ivica Zubac,Points,9.5,-126,9.5,104
6,Reggie Jackson,Points,12.5,-118,12.5,-104
7,Joel Embiid,Rebounds,10.5,-128,10.5,104
8,Ben Simmons,Rebounds,7.5,-108,7.5,-112
9,Danny Green,Rebounds,2.5,-164,2.5,134
10,Seth Curry,Rebounds,2.5,138,2.5,-170
11,Paul George,Rebounds,6.5,-130,6.5,106
12,Ivica Zubac,Rebounds,7.5,-114,7.5,-106
13,Reggie Jackson,Rebounds,3.5,-102,3.5,-120
14,Joel Embiid,Assists,3.5,104,3.5,-128
15,Ben Simmons,Assists,6.5,102,6.5,-124
16,Seth Curry,Assists,2.5,136,2.5,-168
17,Paul George,Assists,4.5,-115,4.5,-105
18,Reggie Jackson,Assists,3.5,-110,3.5,-110
19,Joel Embiid,Made Threes,1.5,176,1.5,-230
20,Seth Curry,Made Threes,1.5,-122,1.5,-104
21,Paul George,Made Threes,2.5,-140,2.5,110
22,Reggie Jackson,Made Threes,1.5,-154,1.5,122
23,Joel Embiid,Reb + Ast,14.5,-108,14.5,-118
24,Danny Green,Reb + Ast,4.5,-108,4.5,-118
25,Ben Simmons,Reb + Ast,14.5,102,14.5,-130
26,Seth Curry,Reb + Ast,4.5,-102,4.5,-125
27,Paul George,Reb + Ast,11.5,-118,11.5,-108
28,Ivica Zubac,Reb + Ast,9.5,104,9.5,-132
29,Joel Embiid,Pts + Ast,34.5,-104,34.5,-122
30,Ben Simmons,Pts + Ast,20.5,-128,20.5,100
31,Seth Curry,Pts + Ast,12.5,-120,12.5,-106
32,Danny Green,Pts + Ast,9.5,-132,9.5,104
33,Paul George,Pts + Ast,30.5,-111,30.5,-115
34,Ivica Zubac,Pts + Ast,11.5,-113,11.5,-113
35,Joel Embiid,Pts + Reb,41.5,-122,41.5,-104
36,Ben Simmons,Pts + Reb,22.5,-108,22.5,-118
37,Seth Curry,Pts + Reb,12.5,-118,12.5,-108
38,Danny Green,Pts + Reb,11.5,-128,11.5,100
39,Paul George,Pts + Reb,32.5,-113,32.5,-113
40,Ivica Zubac,Pts + Reb,17.5,-122,17.5,-104
41,Joel Embiid,Pts + Reb + Ast,45.5,-113,45.5,-113
42,Ben Simmons,Pts + Reb + Ast,28.5,-120,28.5,-106
43,Seth Curry,Pts + Reb + Ast,15.5,102,15.5,-130
44,Danny Green,Pts + Reb + Ast,13.5,-106,13.5,-120
45,Paul George,Pts + Reb + Ast,37.5,-113,37.5,-113
46,Ivica Zubac,Pts + Reb + Ast,19.5,-111,19.5,-115
